movie_name,movie_link
The Master,/wiki/The_Master_(2012_film)
Ruby Sparks,/wiki/Ruby_Sparks
Bullet to the Head,/wiki/Bullet_to_the_Head
ParaNorman,/wiki/ParaNorman
Safe House,/wiki/Safe_House_(2012_film)
Django Unchained,/wiki/Django_Unchained
Contraband,/wiki/Contraband_(2012_film)
Les Misrables,/wiki/Les_Mis%C3%A9rables_(2012_film)
The Oogieloves in the Big Balloon Adventure,/wiki/The_Oogieloves_in_the_Big_Balloon_Adventure
Amour,/wiki/Amour_(2012_film)
Girl Most Likely,/wiki/Girl_Most_Likely
Seeking a Friend for the End of the World,/wiki/Seeking_a_Friend_for_the_End_of_the_World
Killing Them Softly,/wiki/Killing_Them_Softly
The Woman in Black,/wiki/The_Woman_in_Black_(2012_film)
Cosmopolis,/wiki/Cosmopolis_(film)
Skyfall,/wiki/Skyfall
Red Dawn,/wiki/Red_Dawn_(2012_film)
Payback,/wiki/Payback_(2012_film)
American Reunion,/wiki/American_Reunion
People Like Us,/wiki/People_Like_Us_(film)
House at the End of the Street,/wiki/House_at_the_End_of_the_Street
Bachelorette,/wiki/Bachelorette_(film)
Sinister,/wiki/Sinister_(film)
Think Like a Man,/wiki/Think_Like_a_Man
Ek Tha Tiger,/wiki/Ek_Tha_Tiger
Detropia,/wiki/Detropia
Big Miracle,/wiki/Big_Miracle
Cirque du Soleil: Worlds Away,/wiki/Cirque_du_Soleil:_Worlds_Away
Much Ado About Nothing,/wiki/Much_Ado_About_Nothing_(2012_film)
It's a Disaster,/wiki/It%27s_a_Disaster
Hotel Transylvania,/wiki/Hotel_Transylvania
Deadfall,/wiki/Deadfall_(2012_film)
Tiger Eyes,/wiki/Tiger_Eyes_(film)
Jack Reacher,/wiki/Jack_Reacher_(film)
Resident Evil: Retribution,/wiki/Resident_Evil:_Retribution
Silent Hill: Revelation,/wiki/Silent_Hill:_Revelation
The Lords of Salem,/wiki/The_Lords_of_Salem_(film)
Wrath of the Titans,/wiki/Wrath_of_the_Titans
The Campaign,/wiki/The_Campaign_(film)
Lola Versus,/wiki/Lola_Versus
Journey 2: The Mysterious Island,/wiki/Journey_2:_The_Mysterious_Island
Looper,/wiki/Looper_(film)
Promised Land,/wiki/Promised_Land_(2012_film)
Iron Sky,/wiki/Iron_Sky
Zero Dark Thirty,/wiki/Zero_Dark_Thirty
Back to 1942,/wiki/Back_to_1942
7 Boxes,/wiki/7_Boxes
The Impossible,/wiki/The_Impossible_(2012_film)
Beasts of the Southern Wild,/wiki/Beasts_of_the_Southern_Wild
End of Watch,/wiki/End_of_Watch
The Brass Teapot,/wiki/The_Brass_Teapot
LOL,/wiki/LOL_(2012_film)
Mirror Mirror,/wiki/Mirror_Mirror_(film)
The Five-Year Engagement,/wiki/The_Five-Year_Engagement
Sparkle,/wiki/Sparkle_(2012_film)
Hitchcock,/wiki/Hitchcock_(film)
Madagascar 3: Europe's Most Wanted,/wiki/Madagascar_3:_Europe%27s_Most_Wanted
Hope Springs,/wiki/Hope_Springs_(2012_film)
A Thousand Words,/wiki/A_Thousand_Words_(film)
A Liar's Autobiography: The Untrue Story of Monty Python's Graham Chapman,/wiki/A_Liar%27s_Autobiography:_The_Untrue_Story_of_Monty_Python%27s_Graham_Chapman
21 Jump Street,/wiki/21_Jump_Street_(film)
Savages,/wiki/Savages_(2012_film)
"Farewell, My Queen","/wiki/Farewell,_My_Queen"
Flight,/wiki/Flight_(2012_film)
The Bourne Legacy,/wiki/The_Bourne_Legacy_(film)
Step Up Revolution,/wiki/Step_Up_Revolution
The Devil Inside,/wiki/The_Devil_Inside_(film)
Chimpanzee,/wiki/Chimpanzee_(film)
Chasing Ice,/wiki/Chasing_Ice
Prometheus,/wiki/Prometheus_(2012_film)
Wreck-It Ralph,/wiki/Wreck-It_Ralph
What to Expect When You're Expecting,/wiki/What_to_Expect_When_You%27re_Expecting_(film)
"3,2,1... Frankie Go Boom","/wiki/3,2,1..._Frankie_Go_Boom"
Project X,/wiki/Project_X_(2012_film)
Dark Shadows,/wiki/Dark_Shadows_(film)
Pitch Perfect,/wiki/Pitch_Perfect
Television,/wiki/Television_(film)
Compliance,/wiki/Compliance_(film)
Abraham Lincoln: Vampire Hunter,/wiki/Abraham_Lincoln:_Vampire_Hunter
The Perks of Being a Wallflower,/wiki/The_Perks_of_Being_a_Wallflower_(film)
Chronicle,/wiki/Chronicle_(film)
Red Tails,/wiki/Red_Tails
Rock of Ages,/wiki/Rock_of_Ages_(2012_film)
In Their Skin,/wiki/In_Their_Skin
Chernobyl Diaries,/wiki/Chernobyl_Diaries
That's My Boy,/wiki/That%27s_My_Boy_(2012_film)
Underworld: Awakening,/wiki/Underworld:_Awakening
"For a Good Time, Call...","/wiki/For_a_Good_Time,_Call..."
2 Days in New York,/wiki/2_Days_in_New_York
Lincoln,/wiki/Lincoln_(2012_film)
Fury,/wiki/Fury_(2012_film)
Crooked Arrows,/wiki/Crooked_Arrows
Knife Fight,/wiki/Knife_Fight
Casa de Mi Padre,/wiki/Casa_de_Mi_Padre
The Apparition,/wiki/The_Apparition
Jayne Mansfield's Car,/wiki/Jayne_Mansfield%27s_Car
The Imposter,/wiki/The_Imposter_(2012_film)
Barfi!,/wiki/Barfi!_(2012_film)
The Raven,/wiki/The_Raven_(2012_film)
The Dictator,/wiki/The_Dictator_(2012_film)
Stolen,/wiki/Stolen_(2012_film)
