movie_name,movie_link
Copycat,/wiki/Copycat_(film)
Crimson Tide,/wiki/Crimson_Tide_(film)
Cutthroat Island,/wiki/Cutthroat_Island
Rob Roy,/wiki/Rob_Roy_(1995_film)
The City of Lost Children,/wiki/The_City_of_Lost_Children
The Indian in the Cupboard,/wiki/The_Indian_in_the_Cupboard_(film)
GoldenEye,/wiki/GoldenEye
Outbreak,/wiki/Outbreak_(film)
Reckless,/wiki/Reckless_(1995_film)
Free Willy 2: The Adventure Home,/wiki/Free_Willy_2:_The_Adventure_Home
Empire Records,/wiki/Empire_Records
Hideaway,/wiki/Hideaway_(film)
It Takes Two,/wiki/It_Takes_Two_(1995_film)
Showgirls,/wiki/Showgirls
Friday,/wiki/Friday_(1995_film)
Heat,/wiki/Heat_(1995_film)
The Quick and the Dead,/wiki/The_Quick_and_the_Dead_(1995_film)
Magic in the Water,/wiki/Magic_in_the_Water
Dolores Claiborne,/wiki/Dolores_Claiborne_(film)
The Mangler,/wiki/The_Mangler_(film)
White Man's Burden,/wiki/White_Man%27s_Burden_(film)
Lord of Illusions,/wiki/Lord_of_Illusions
Tall Tale,/wiki/Tall_Tale_(film)
Kids,/wiki/Kids_(film)
Angus,/wiki/Angus_(film)
A Walk in the Clouds,/wiki/A_Walk_in_the_Clouds
Man of the House,/wiki/Man_of_the_House_(1995_film)
Jumanji,/wiki/Jumanji_(film)
The Englishman Who Went Up a Hill But Came Down a Mountain,/wiki/The_Englishman_Who_Went_Up_a_Hill_But_Came_Down_a_Mountain
The Walking Dead,/wiki/The_Walking_Dead_(1995_film)
The Scarlet Letter,/wiki/The_Scarlet_Letter_(1995_film)
Mortal Kombat,/wiki/Mortal_Kombat_(film)
Mighty Morphin Power Rangers: The Movie,/wiki/Mighty_Morphin_Power_Rangers:_The_Movie
Toy Story,/wiki/Toy_Story
The Baby-Sitters Club,/wiki/The_Baby-Sitters_Club_(film)
Wild Bill,/wiki/Wild_Bill_(1995_film)
In the Mouth of Madness,/wiki/In_the_Mouth_of_Madness
Species,/wiki/Species_(film)
Clueless,/wiki/Clueless_(film)
The Brady Bunch Movie,/wiki/The_Brady_Bunch_Movie
Beyond Rangoon,/wiki/Beyond_Rangoon
The Bridges of Madison County,/wiki/The_Bridges_of_Madison_County_(film)
Something to Talk About,/wiki/Something_to_Talk_About_(film)
Father of the Bride Part II,/wiki/Father_of_the_Bride_Part_II
A Kid in King Arthur's Court,/wiki/A_Kid_in_King_Arthur%27s_Court
"To Wong Foo, Thanks For Everything! Julie Newmar","/wiki/To_Wong_Foo,_Thanks_For_Everything!_Julie_Newmar"
Tom and Huck,/wiki/Tom_and_Huck
Nine Months,/wiki/Nine_Months
Highlander III,/wiki/Highlander_III:_The_Sorcerer
Before Sunrise,/wiki/Before_Sunrise
Babe,/wiki/Babe_(film)
The Hunted,/wiki/The_Hunted_(1995_film)
The Net,/wiki/The_Net_(1995_film)
Ace Ventura: When Nature Calls,/wiki/Ace_Ventura:_When_Nature_Calls
Village of the Damned,/wiki/Village_of_the_Damned_(1995_film)
Fluke,/wiki/Fluke_(film)
A Month by the Lake,/wiki/A_Month_by_the_Lake
First Knight,/wiki/First_Knight
The Tie That Binds,/wiki/The_Tie_That_Binds_(1995_film)
Pocahontas,/wiki/Pocahontas_(1995_film)
Just Cause,/wiki/Just_Cause_(film)
Forget Paris,/wiki/Forget_Paris
The Stars Fell on Henrietta,/wiki/The_Stars_Fell_on_Henrietta
The Glass Shield,/wiki/The_Glass_Shield
Mallrats,/wiki/Mallrats
Dead Man Walking,/wiki/Dead_Man_Walking_(film)
Smoke,/wiki/Smoke_(film)
A Little Princess,/wiki/A_Little_Princess_(1995_film)
Nixon,/wiki/Nixon_(film)
Operation Dumbo Drop,/wiki/Operation_Dumbo_Drop
Dangerous Minds,/wiki/Dangerous_Minds
Tommy Boy,/wiki/Tommy_Boy_(film)
Apollo 13,/wiki/Apollo_13_(film)
Jade,/wiki/Jade_(film)
Bye Bye Love,/wiki/Bye_Bye_Love_(film)
Halloween: The Curse of Michael Myers,/wiki/Halloween:_The_Curse_of_Michael_Myers
Four Rooms,/wiki/Four_Rooms
Waiting to Exhale,/wiki/Waiting_to_Exhale
Powder,/wiki/Powder_(film)
The Pebble and the Penguin,/wiki/The_Pebble_and_the_Penguin
Roommates,/wiki/Roommates_(1995_film)
The Jerky Boys: The Movie,/wiki/The_Jerky_Boys:_The_Movie
Canadian Bacon,/wiki/Canadian_Bacon
Three Wishes,/wiki/Three_Wishes_(film)
Kiss of Death,/wiki/Kiss_of_Death_(1995_film)
Panther,/wiki/Panther_(film)
Braveheart,/wiki/Braveheart
Money Train,/wiki/Money_Train_(film)
Sister My Sister,/wiki/Sister_My_Sister
Gold Diggers: The Secret of Bear Mountain,/wiki/Gold_Diggers:_The_Secret_of_Bear_Mountain
Balto,/wiki/Balto_(film)
Billy Madison,/wiki/Billy_Madison
Tank Girl,/wiki/Tank_Girl_(film)
Last of the Dogmen,/wiki/Last_of_the_Dogmen
Dracula: Dead and Loving It,/wiki/Dracula:_Dead_and_Loving_It
Unzipped,/wiki/Unzipped_(film)
Boys on the Side,/wiki/Boys_on_the_Side
Get Shorty,/wiki/Get_Shorty_(film)
Sabrina,/wiki/Sabrina_(1995_film)
French Kiss,/wiki/French_Kiss_(1995_film)
Virtuosity,/wiki/Virtuosity
Grumpier Old Men,/wiki/Grumpier_Old_Men
Casino,/wiki/Casino_(film)
Moonlight and Valentino,/wiki/Moonlight_and_Valentino
Bad Boys,/wiki/Bad_Boys_(1995_film)
12 Monkeys,/wiki/12_Monkeys
Losing Isaiah,/wiki/Losing_Isaiah
Batman Forever,/wiki/Batman_Forever
Miami Rhapsody,/wiki/Miami_Rhapsody
Murder in the First,/wiki/Murder_in_the_First_(film)
Seven,/wiki/Seven_(1995_film)
Major Payne,/wiki/Major_Payne
The American President,/wiki/The_American_President
The Basketball Diaries,/wiki/The_Basketball_Diaries_(film)
Live Nude Girls,/wiki/Live_Nude_Girls_(film)
A Goofy Movie,/wiki/A_Goofy_Movie
Nick of Time,/wiki/Nick_of_Time_(film)
Two Bits,/wiki/Two_Bits
Waterworld,/wiki/Waterworld
Casper,/wiki/Casper_(film)
National Lampoon's Senior Trip,/wiki/National_Lampoon%27s_Senior_Trip
Born to Be Wild,/wiki/Born_to_Be_Wild_(1995_film)
Desperado,/wiki/Desperado_(film)
Mad Love,/wiki/Mad_Love_(1995_film)
The Doom Generation,/wiki/The_Doom_Generation
Leaving Las Vegas,/wiki/Leaving_Las_Vegas
Die Hard with a Vengeance,/wiki/Die_Hard_with_a_Vengeance
Higher Learning,/wiki/Higher_Learning
How to Make an American Quilt,/wiki/How_to_Make_an_American_Quilt
Strange Days,/wiki/Strange_Days_(film)
Now and Then,/wiki/Now_and_Then_(film)
The Last Supper,/wiki/The_Last_Supper_(1995_film)
Jury Duty,/wiki/Jury_Duty_(film)
Never Talk to Strangers,/wiki/Never_Talk_to_Strangers
Top Dog,/wiki/Top_Dog_(1995_film)
The Usual Suspects,/wiki/The_Usual_Suspects
Funny Bones,/wiki/Funny_Bones
Othello,/wiki/Othello_(1995_film)
Dead Presidents,/wiki/Dead_Presidents
Fair Game,/wiki/Fair_Game_(1995_film)
Judge Dredd,/wiki/Judge_Dredd_(film)
Assassins,/wiki/Assassins_(film)
To Die For,/wiki/To_Die_For
Things to Do in Denver When You're Dead,/wiki/Things_to_Do_in_Denver_When_You%27re_Dead
An Awfully Big Adventure,/wiki/An_Awfully_Big_Adventure
Sense and Sensibility,/wiki/Sense_and_Sensibility_(film)
Under Siege 2: Dark Territory,/wiki/Under_Siege_2:_Dark_Territory
Home for the Holidays,/wiki/Home_for_the_Holidays_(film)
While You Were Sleeping,/wiki/While_You_Were_Sleeping_(film)
Heavyweights,/wiki/Heavyweights
Vampire in Brooklyn,/wiki/Vampire_in_Brooklyn
