movie_name,movie_link
Martin Lawrence Live: Runteldat,/wiki/Martin_Lawrence_Live:_Runteldat
The Powerpuff Girls Movie,/wiki/The_Powerpuff_Girls_Movie
Ali G Indahouse,/wiki/Ali_G_Indahouse
The Scorpion King,/wiki/The_Scorpion_King
Abandon,/wiki/Abandon_(2002_film)
Half Past Dead,/wiki/Half_Past_Dead
Life or Something Like It,/wiki/Life_or_Something_Like_It
Spy Kids 2: The Island of Lost Dreams,/wiki/Spy_Kids_2:_The_Island_of_Lost_Dreams
8 Mile,/wiki/8_Mile_(film)
Sweet Home Alabama,/wiki/Sweet_Home_Alabama_(film)
John Q,/wiki/John_Q
Lilo & Stitch,/wiki/Lilo_%26_Stitch
Trapped,/wiki/Trapped_(2002_film)
Men in Black II,/wiki/Men_in_Black_II
The New Guy,/wiki/The_New_Guy
Eight Legged Freaks,/wiki/Eight_Legged_Freaks
The Ring,/wiki/The_Ring_(2002_film)
The Master of Disguise,/wiki/The_Master_of_Disguise
Frailty,/wiki/Frailty_(film)
Orange County,/wiki/Orange_County_(film)
Kung Pow! Enter the Fist,/wiki/Kung_Pow!_Enter_the_Fist
The Count of Monte Cristo,/wiki/The_Count_of_Monte_Cristo_(2002_film)
Tuck Everlasting,/wiki/Tuck_Everlasting_(2002_film)
Star Trek: Nemesis,/wiki/Star_Trek:_Nemesis
Clockstoppers,/wiki/Clockstoppers
Swimfan,/wiki/Swimfan
Friday After Next,/wiki/Friday_After_Next
Deuces Wild,/wiki/Deuces_Wild
Big Fat Liar,/wiki/Big_Fat_Liar
The Mothman Prophecies,/wiki/The_Mothman_Prophecies_(film)
Hollywood Ending,/wiki/Hollywood_Ending
Jonah: A VeggieTales Movie,/wiki/Jonah:_A_VeggieTales_Movie
Gangs of New York,/wiki/Gangs_of_New_York
The Time Machine,/wiki/The_Time_Machine_(2002_film)
The 51st State,/wiki/The_51st_State
The Country Bears,/wiki/The_Country_Bears
Brown Sugar,/wiki/Brown_Sugar_(2002_film)
Austin Powers in Goldmember,/wiki/Austin_Powers_in_Goldmember
Return to Never Land,/wiki/Return_to_Never_Land
The Santa Clause 2,/wiki/The_Santa_Clause_2
Spider-Man,/wiki/Spider-Man_(2002_film)
Windtalkers,/wiki/Windtalkers
Jackass: The Movie,/wiki/Jackass:_The_Movie
