movie_name,movie_link
The Substitute,/wiki/The_Substitute
Executive Decision,/wiki/Executive_Decision
Feeling Minnesota,/wiki/Feeling_Minnesota
The Crow: City of Angels,/wiki/The_Crow:_City_of_Angels
Kingpin,/wiki/Kingpin_(1996_film)
Set It Off,/wiki/Set_It_Off_(film)
Mrs. Winterbourne,/wiki/Mrs._Winterbourne
Dragonheart,/wiki/Dragonheart
Sling Blade,/wiki/Sling_Blade
Mulholland Falls,/wiki/Mulholland_Falls
Twister,/wiki/Twister_(1996_film)
My Fellow Americans,/wiki/My_Fellow_Americans
The Hunchback of Notre Dame,/wiki/The_Hunchback_of_Notre_Dame_(1996_film)
Diabolique,/wiki/Diabolique_(1996_film)
The Fan,/wiki/The_Fan_(1996_film)
Matilda,/wiki/Matilda_(1996_film)
Jack,/wiki/Jack_(1996_film)
The Glimmer Man,/wiki/The_Glimmer_Man
House Arrest,/wiki/House_Arrest_(film)
From Dusk Till Dawn,/wiki/From_Dusk_Till_Dawn_(film)
Mars Attacks!,/wiki/Mars_Attacks!
Alaska,/wiki/Alaska_(1996_film)
A Thin Line Between Love and Hate,/wiki/A_Thin_Line_Between_Love_and_Hate
Star Trek: First Contact,/wiki/Star_Trek:_First_Contact
Scream,/wiki/Scream_(1996_film)
Barb Wire,/wiki/Barb_Wire_(film)
The Adventures of Pinocchio,/wiki/The_Adventures_of_Pinocchio_(1996_film)
The Island of Dr. Moreau,/wiki/The_Island_of_Dr._Moreau_(1996_film)
Ghosts of Mississippi,/wiki/Ghosts_of_Mississippi
The Mirror Has Two Faces,/wiki/The_Mirror_Has_Two_Faces
Broken Arrow,/wiki/Broken_Arrow_(1996_film)
Fear,/wiki/Fear_(1996_film)
The Chamber,/wiki/The_Chamber_(film)
Bad Moon,/wiki/Bad_Moon
Last Man Standing,/wiki/Last_Man_Standing_(film)
Moll Flanders,/wiki/Moll_Flanders_(1996_film)
Last Dance,/wiki/Last_Dance_(1996_film)
Striptease,/wiki/Striptease_(film)
Kazaam,/wiki/Kazaam
The Frighteners,/wiki/The_Frighteners
Fargo,/wiki/Fargo_(film)
James and the Giant Peach,/wiki/James_and_the_Giant_Peach_(film)
101 Dalmatians,/wiki/101_Dalmatians_(1996_film)
Mary Reilly,/wiki/Mary_Reilly_(film)
The Nutty Professor,/wiki/The_Nutty_Professor_(1996_film)
Evita,/wiki/Evita_(1996_film)
Celtic Pride,/wiki/Celtic_Pride
Sgt. Bilko,/wiki/Sgt._Bilko_(film)
Dear God,/wiki/Dear_God_(film)
Phat Beach,/wiki/Phat_Beach
The Arrival,/wiki/The_Arrival_(film)
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,/wiki/Don%27t_Be_a_Menace_to_South_Central_While_Drinking_Your_Juice_in_the_Hood
Sleepers,/wiki/Sleepers_(film)
Larger Than Life,/wiki/Larger_than_Life_(film)
Michael,/wiki/Michael_(1996_film)
White Squall,/wiki/White_Squall_(film)
Fly Away Home,/wiki/Fly_Away_Home
Flipper,/wiki/Flipper_(1996_film)
Michael Collins,/wiki/Michael_Collins_(film)
Mission: Impossible,/wiki/Mission:_Impossible_(film)
The Cable Guy,/wiki/The_Cable_Guy
Mr. Wrong,/wiki/Mr._Wrong
The Rock,/wiki/The_Rock_(film)
Tin Cup,/wiki/Tin_Cup
Maximum Risk,/wiki/Maximum_Risk
Ed,/wiki/Ed_(film)
Up Close & Personal,/wiki/Up_Close_%26_Personal
Daylight,/wiki/Daylight_(film)
Get on the Bus,/wiki/Get_on_the_Bus
Down Periscope,/wiki/Down_Periscope
The Rich Man's Wife,/wiki/The_Rich_Man%27s_Wife
The First Wives Club,/wiki/The_First_Wives_Club
High School High,/wiki/High_School_High
Ransom,/wiki/Ransom_(1996_film)
Primal Fear,/wiki/Primal_Fear_(film)
2 Days in the Valley,/wiki/2_Days_in_the_Valley
Romeo + Juliet,/wiki/Romeo_%2B_Juliet
Muppet Treasure Island,/wiki/Muppet_Treasure_Island
Solo,/wiki/Solo_(1996_film)
The Birdcage,/wiki/The_Birdcage
One Fine Day,/wiki/One_Fine_Day_(film)
Jingle All the Way,/wiki/Jingle_All_the_Way
Harriet the Spy,/wiki/Harriet_the_Spy_(film)
Eye for an Eye,/wiki/Eye_for_an_Eye_(1996_film)
The Long Kiss Goodnight,/wiki/The_Long_Kiss_Goodnight
Black Sheep,/wiki/Black_Sheep_(1996_film)
Bulletproof,/wiki/Bulletproof_(1996_film)
The Great White Hype,/wiki/The_Great_White_Hype
A Very Brady Sequel,/wiki/A_Very_Brady_Sequel
Beavis and Butt-head Do America,/wiki/Beavis_and_Butt-head_Do_America
Phenomenon,/wiki/Phenomenon_(film)
A Time to Kill,/wiki/A_Time_to_Kill_(film)
Dunston Checks In,/wiki/Dunston_Checks_In
Carpool,/wiki/Carpool_(film)
The Evening Star,/wiki/The_Evening_Star
Eddie,/wiki/Eddie_(film)
The Juror,/wiki/The_Juror
Basquiat,/wiki/Basquiat_(film)
Space Jam,/wiki/Space_Jam
Flirting with Disaster,/wiki/Flirting_with_Disaster_(film)
The English Patient,/wiki/The_English_Patient_(film)
Escape from L.A.,/wiki/Escape_from_L.A.
Big Bully,/wiki/Big_Bully_(film)
The Ghost and the Darkness,/wiki/The_Ghost_and_the_Darkness
Extreme Measures,/wiki/Extreme_Measures
The Stupids,/wiki/The_Stupids_(film)
Joe's Apartment,/wiki/Joe%27s_Apartment
Bogus,/wiki/Bogus_(film)
Eraser,/wiki/Eraser_(film)
City Hall,/wiki/City_Hall_(film)
Heaven's Prisoners,/wiki/Heaven%27s_Prisoners
The Quest,/wiki/The_Quest_(film)
Bed of Roses,/wiki/Bed_of_Roses_(1996_film)
Beautiful Girls,/wiki/Beautiful_Girls_(film)
Happy Gilmore,/wiki/Happy_Gilmore
Lawnmower Man 2: Beyond Cyberspace,/wiki/Lawnmower_Man_2:_Beyond_Cyberspace
Courage Under Fire,/wiki/Courage_Under_Fire
The People vs. Larry Flynt,/wiki/The_People_vs._Larry_Flynt
Lone Star,/wiki/Lone_Star_(1996_film)
Two Much,/wiki/Two_Much
The Truth About Cats & Dogs,/wiki/The_Truth_About_Cats_%26_Dogs
Fled,/wiki/Fled
That Thing You Do!,/wiki/That_Thing_You_Do!
Sunset Park,/wiki/Sunset_Park_(film)
Multiplicity,/wiki/Multiplicity_(film)
Bordello of Blood,/wiki/Bordello_of_Blood
The Craft,/wiki/The_Craft_(film)
The Pallbearer,/wiki/The_Pallbearer
Spy Hard,/wiki/Spy_Hard
First Kid,/wiki/First_Kid
The Preacher's Wife,/wiki/The_Preacher%27s_Wife
Thinner,/wiki/Thinner_(film)
Jerry Maguire,/wiki/Jerry_Maguire
Chain Reaction,/wiki/Chain_Reaction_(film)
The Phantom,/wiki/The_Phantom_(1996_film)
Bio-Dome,/wiki/Bio-Dome
Bound,/wiki/Bound_(film)
Independence Day,/wiki/Independence_Day_(1996_film)
The Associate,/wiki/The_Associate
Before and After,/wiki/Before_and_After_(film)
