movie_name,movie_link
Far Out Man,/wiki/Far_Out_Man
The Hunt for Red October,/wiki/The_Hunt_for_Red_October_(film)
Tales from the Darkside: The Movie,/wiki/Tales_from_the_Darkside:_The_Movie
Young Guns II,/wiki/Young_Guns_II
Ernest Goes to Jail,/wiki/Ernest_Goes_to_Jail
Tremors,/wiki/Tremors_(film)
King of New York,/wiki/King_of_New_York
Nuns on the Run,/wiki/Nuns_on_the_Run
The Hot Spot,/wiki/The_Hot_Spot
Gremlins 2: The New Batch,/wiki/Gremlins_2:_The_New_Batch
Downtown,/wiki/Downtown_(film)
Blood Oath,/wiki/Blood_Oath_(1990_Australian_film)
The Rescuers Down Under,/wiki/The_Rescuers_Down_Under
Loose Cannons,/wiki/Loose_Cannons_(1990_film)
"Welcome Home, Roxy Carmichael","/wiki/Welcome_Home,_Roxy_Carmichael"
RoboCop 2,/wiki/RoboCop_2
Graveyard Shift,/wiki/Graveyard_Shift_(1990_film)
The Handmaid's Tale,/wiki/The_Handmaid%27s_Tale_(film)
Pump Up the Volume,/wiki/Pump_Up_the_Volume_(film)
Kindergarten Cop,/wiki/Kindergarten_Cop
Mo' Better Blues,/wiki/Mo%27_Better_Blues
Darkman,/wiki/Darkman
The Swordsman,/wiki/The_Swordsman
Havana,/wiki/Havana_(film)
Where the Heart Is,/wiki/Where_the_Heart_Is_(1990_film)
Stella,/wiki/Stella_(1990_film)
Death Warrant,/wiki/Death_Warrant
A Show of Force,/wiki/A_Show_of_Force
Another 48 Hrs.,/wiki/Another_48_Hrs.
Look Who's Talking Too,/wiki/Look_Who%27s_Talking_Too
Flatliners,/wiki/Flatliners
The Freshman,/wiki/The_Freshman_(1990_film)
Miller's Crossing,/wiki/Miller%27s_Crossing
A Shock to the System,/wiki/A_Shock_to_the_System
Fear,/wiki/Fear_(1990_film)
Leatherface: The Texas Chainsaw Massacre III,/wiki/Leatherface:_The_Texas_Chainsaw_Massacre_III
Soultaker,/wiki/Soultaker_(film)
China Cry,/wiki/China_Cry
Men at Work,/wiki/Men_at_Work_(1990_film)
The First Power,/wiki/The_First_Power
Almost an Angel,/wiki/Almost_an_Angel
"After Dark, My Sweet","/wiki/After_Dark,_My_Sweet"
Narrow Margin,/wiki/Narrow_Margin
Jacob's Ladder,/wiki/Jacob%27s_Ladder_(film)
Total Recall,/wiki/Total_Recall_(1990_film)
Wild at Heart,/wiki/Wild_at_Heart_(film)
Love at Large,/wiki/Love_at_Large
Coupe de Ville,/wiki/Coupe_de_Ville_(film)
The Rookie,/wiki/The_Rookie_(1990_film)
Sibling Rivalry,/wiki/Sibling_Rivalry_(film)
Navy SEALs,/wiki/Navy_SEALs_(film)
Days of Thunder,/wiki/Days_of_Thunder
Madhouse,/wiki/Madhouse_(1990_film)
Guns,/wiki/Guns_(film)
Betsy's Wedding,/wiki/Betsy%27s_Wedding
Delta Force 2: The Colombian Connection,/wiki/Delta_Force_2:_The_Colombian_Connection
The Godfather Part III,/wiki/The_Godfather_Part_III
The Krays,/wiki/The_Krays_(film)
Memphis Belle,/wiki/Memphis_Belle_(film)
Funny About Love,/wiki/Funny_About_Love
Marked for Death,/wiki/Marked_for_Death
Ghost Dad,/wiki/Ghost_Dad
State of Grace,/wiki/State_of_Grace_(film)
The Adventures of Ford Fairlane,/wiki/The_Adventures_of_Ford_Fairlane
Arachnophobia,/wiki/Arachnophobia_(film)
Short Time,/wiki/Short_Time_(film)
Henry & June,/wiki/Henry_%26_June
Ski Patrol,/wiki/Ski_Patrol_(1990_film)
Three Men and a Little Lady,/wiki/Three_Men_and_a_Little_Lady
The Nutcracker Prince,/wiki/The_Nutcracker_Prince
The Invisible Maniac,/wiki/The_Invisible_Maniac
Cadillac Man,/wiki/Cadillac_Man
Opportunity Knocks,/wiki/Opportunity_Knocks_(film)
Desperate Hours,/wiki/Desperate_Hours
Quigley Down Under,/wiki/Quigley_Down_Under
Cyrano de Bergerac,/wiki/Cyrano_de_Bergerac_(1990_film)
Internal Affairs,/wiki/Internal_Affairs_(film)
The Bonfire of the Vanities,/wiki/The_Bonfire_of_the_Vanities_(film)
Don't Tell Her It's Me,/wiki/Don%27t_Tell_Her_It%27s_Me
Dick Tracy,/wiki/Dick_Tracy_(1990_film)
Bird on a Wire,/wiki/Bird_on_a_Wire_(film)
Predator 2,/wiki/Predator_2
Everybody Wins,/wiki/Everybody_Wins_(film)
Jetsons: The Movie,/wiki/Jetsons:_The_Movie
Dances with Wolves,/wiki/Dances_with_Wolves
Spaced Invaders,/wiki/Spaced_Invaders
Shakma,/wiki/Shakma
