Movie_Name,Contributors,Budget,Revenue
JFK,"['Oliver Stone', 'Kevin Costner', 'Kevin Bacon', 'Tommy Lee Jones', 'Laurie Metcalf', 'Gary Oldman', 'Michael Rooker', 'Jay O. Sanders', 'Sissy Spacek']",40,205405498
If Looks Could Kill,"['William Dear', 'Richard Grieco', 'Linda Hunt', 'Roger Rees', 'Gabrielle Anwar', 'Roger Daltrey']",12,7788597
Mystery Date,"['Jonathan Wacks', 'Parker Bennett', 'Terry Runte', 'Ethan Hawke', 'Teri Polo', 'Brian McNamara', 'Fisher Stevens', 'Don S. Davis', 'B.D. Wong']",0,6166819
Men of Respect,"['William Shakespeare', 'John Turturro', 'Rod Steiger']",0,139155
Regarding Henry,"['Mike Nichols', 'J. J. Abrams', 'Harrison Ford', 'Annette Bening', 'Bill Nunn']",50,43001500 (US)
Barton Fink,"['Joel Coen\nEthan Coen', 'John Turturro', 'John Goodman']",9,6153939
The Commitments,"['Alan Parker', 'Robert Arkins', 'Colm Meaney', 'Andrew Strong', 'Maria Doyle']",0,14919570
Hot Shots!,"['Jim Abrahams', 'Jim Abrahams', 'Pat Proft', 'Charlie Sheen', 'Cary Elwes', 'Valeria Golino', 'Lloyd Bridges', 'Jon Cryer', 'Kevin Dunn', 'Kristy Swanson', 'Bill Irwin']",26,181096164
Paradise,"['Mary Agnes Donoghue', 'Melanie Griffith', 'Don Johnson', 'Elijah Wood']",0,18634643 (Domestic)
Backdraft,"['Ron Howard', 'Gregory Widen', 'Kurt Russell', 'William Baldwin', 'Scott Glenn', 'Jennifer Jason Leigh', 'Rebecca De Mornay', 'Donald Sutherland', 'Robert De Niro']",75,152368585
Oscar,"['John Landis', 'Jim Mulholland', 'Sylvester Stallone', 'Marisa Tomei', 'Ornella Muti', 'Tim Curry', 'Chazz Palminteri']",35,23562716
Toy Soldiers,"['Daniel Petrie, Jr.', 'David Koepp', 'Daniel Petrie, Jr.', 'Sean Astin', 'Wil Wheaton', 'Keith Coogan', 'Andrew Divoff', 'Mason Adams', 'Denholm Elliott', 'Louis Gossett, Jr.']",10,15073942 (US) (sub-total)
Two Evil Eyes,[],0,0
A Rage in Harlem,"['Bill Duke', 'John Toles-Bey', 'Forest Whitaker', 'Gregory Hines', 'Robin Givens', 'Zakes Mokae', 'Danny Glover']",8,10.4  (USA)
Mobsters,"['Nicholas Kazan', 'Christian Slater', 'Patrick Dempsey', 'Richard Grieco', 'Costas Mandylor', 'Michael Gambon', 'Anthony Quinn', 'Lara Flynn Boyle', 'F. Murray Abraham']",23,20246790
Where Angels Fear to Tread,"['Charles Sturridge', 'Tim Sullivan', 'E.M. Forster', 'Rupert Graves', 'Helena Bonham Carter', 'Judy Davis', 'Helen Mirren', 'Barbara Jefford']",0,0
The Butcher's Wife,"['Terry Hughes', 'Demi Moore', 'Jeff Daniels']",0,9689816
Ricochet,"['Russell Mulcahy', 'Fred Dekker', 'Menno Meyjes', 'Steven E. de Souza', 'Denzel Washington', 'John Lithgow', 'Ice-T', 'Kevin Pollak', 'Lindsay Wagner']",0,21756163
Defending Your Life,"['Albert Brooks', 'Meryl Streep', 'Rip Torn', 'Lee Grant', 'Buck Henry']",0,16371128
The Silence of the Lambs,"['Jonathan Demme', 'Jodie Foster', 'Anthony Hopkins', 'Scott Glenn', 'Ted Levine']",19,272.7
The Rocketeer,"['Joe Johnston', 'Billy Campbell', 'Jennifer Connelly', 'Alan Arkin', 'Timothy Dalton', 'Paul Sorvino', 'Tiny Ron Taylor']",42000000,62000000
L.A. Story,"['Mick Jackson', 'Steve Martin', 'Victoria Tennant', 'Richard E. Grant', 'Marilu Henner', 'Sarah Jessica Parker']",0,28862081
Bugsy,"['Barry Levinson', 'Warren Beatty', 'Annette Bening']",30,49114016
Doc Hollywood,"['Michael Caton-Jones', 'Jeffrey Price and Peter S. Seaman', 'Daniel Pyne', 'Michael J. Fox', 'Julie Warner', 'Woody Harrelson']",17,54830779
True Colors,"['Herbert Ross', 'James Spader', 'John Cusack', 'Richard Widmark', 'Mandy Patinkin', 'Paul Guilfoyle']",0,418807
Shattered,"['Wolfgang Petersen', 'Tom Berenger', 'Bob Hoskins', 'Greta Scacchi', 'Joanne Whalley', 'Corbin Bernsen']",25,11511031
The Marrying Man,"['Jerry Rees', 'Neil Simon', 'Alec Baldwin', 'Kim Basinger', 'Robert Loggia', 'Elisabeth Shue', 'Paul Reiser', 'Fisher Stevens', 'Peter Dobson', 'Armand Assante']",26,12454768
The Naked Gun 2: The Smell of Fear,"['David Zucker', 'Pat Proft', 'Leslie Nielsen', 'Priscilla Presley', 'George Kennedy', 'O.J. Simpson']",23,86930411
The Indian Runner,"['Sean Penn', 'David Morse', 'Viggo Mortensen', 'Valeria Golino', 'Patricia Arquette', 'Jordan Rhodes', 'Dennis Hopper']",7,191125
Drop Dead Fred,"['Ate De Jong', 'Rik Mayall', 'Phoebe Cates', 'Marsha Mason', 'Tim Matheson', 'Carrie Fisher', 'Daniel Gerroll', 'Ron Eldard']",0,13878334 (USA)
Ski School,"['Damian Lee', 'David Mitchell', 'Dean Cameron', 'Tom Breznahan', 'Stuart Fratkin', 'Darlene Vogel', 'Ava Fabian', 'Patrick Labyorteaux', 'Mark Thomas Miller', 'Spencer Rochfort', 'John Pyper-Ferguson']",0,18476
Rush,[],0,0
The Prince of Tides,"['Barbra Streisand', '[1]', 'Nick Nolte', 'Barbra Streisand', 'Blythe Danner', 'Kate Nelligan', 'Jeroen Krabb', 'Melinda Dillon', 'George Carlin', 'Jason Gould']",30,74787599
Flight of the Intruder,"['John Milius', 'Robert Dillon', 'David Shaber', 'Danny Glover', 'Willem Dafoe', 'Brad Johnson', 'Rosanna Arquette', 'Tom Sizemore']",35,14587732
Hook,[],0,0
Nothing But Trouble,[],0,0
"He Said, She Said","['Ken Kwapis', 'Marisa Silver', 'Brian Hohlfeld', 'Kevin Bacon', 'Elizabeth Perkins', 'Nathan Lane', 'Sharon Stone', 'George Martin']",15,9804775
Class Action,"['Michael Apted', 'Gene Hackman', 'Mary Elizabeth Mastrantonio']",0,28277918
The NeverEnding Story II: The Next Chapter,"['George T. Miller', 'Jonathan Brandis', 'Kenny Morrison', 'Clarissa Burt', 'John Wesley Shipp', 'Alexandra Johnes', 'Thomas Hill']",36 milion,17373527 (USA)
My Own Private Idaho,"['Gus Van Sant', 'Keanu Reeves']",2.5,6401336
Father of the Bride,"['Charles Shyer', 'Steve Martin', 'Diane Keaton', 'Kimberly Williams', 'Martin Short']",20000000,89325780
New Jack City,"['Mario Van Peebles', 'Barry Michael Cooper', 'Wesley Snipes', 'Ice T', 'Allen Payne', 'Chris Rock', 'Judd Nelson', 'Russell Wong']",8,47624353 (domestic)
At Play in the Fields of the Lord,"['Hctor Babenco', 'Tom Berenger', 'John Lithgow', 'Daryl Hannah', 'Aidan Quinn', 'Tom Waits', 'Kathy Bates']",36000000,1342903 (USA)
All I Want for Christmas,"['Robert Lieberman', 'Thom Eberhardt', 'Richard Kramer', 'Harley Jane Kozak', 'Jamey Sheridan', 'Ethan Randall', 'Thora Birch', 'Kevin Nealon', 'Lauren Bacall', 'Leslie Nielsen', 'Andrea Martin', 'Rene Taylor', 'Felicity LaFortune', 'Camille Saviola']",0,14812144
Fried Green Tomatoes,"['Jon Avnet', 'Kathy Bates', 'Jessica Tandy', 'Mary Stuart Masterson', 'Mary-Louise Parker']",11,119418501
American Ninja 4: The Annihilation,[],0,0
My Girl,[],0,0
Kafka,"['Steven Soderbergh', 'Lem Dobbs', 'Jeremy Irons', 'Theresa Russell', 'Joel Grey', 'Ian Holm', 'Jeroen Krabb', 'Armin Mueller-Stahl', 'Alec Guinness']",11000000,1059071
The Doctor,"['Randa Haines', 'William Hurt', 'Christine Lahti', 'Mandy Patinkin', 'Elizabeth Perkins']",12000000 (US),38120905 (US)
The Man in the Moon,"['Robert Mulligan', 'Jenny Wingfield', 'Sam Waterston', 'Tess Harper', 'Gail Strickland', 'Reese Witherspoon', 'Jason London', 'Emily Warfield']",109935 (USA),2853801 (USA)
Sleeping with the Enemy,"['Joseph Ruben', '[1]', 'Julia Roberts', 'Patrick Bergin', 'Kevin Anderson']",19,174999005
Thelma & Louise,"['Ridley Scott', 'Callie Khouri', 'Susan Sarandon', 'Geena Davis', 'Harvey Keitel', 'Michael Madsen', 'Brad Pitt']",16.5,45360915 (North America)
Bingo,[],0,0
Wild Hearts Can't Be Broken,"['Steve Miner', 'Gabrielle Anwar', 'Michael Schoeffling', 'Cliff Robertson']",0,7294835
City Slickers,"['Ron Underwood', 'Lowell Ganz', 'Babaloo Mandel', 'Bruno Kirby', 'Daniel Stern', 'Patricia Wettig', 'Helen Slater', 'Jack Palance']",26,179033791
Dogfight,"['Nancy Savoca', 'Bob Comfort', 'River Phoenix', 'Lili Taylor']",0,397631
White Fang,"['Randal Kleiser', 'Klaus Maria Brandauer', 'Ethan Hawke', 'Seymour Cassel']",14,34793160
Strictly Business,"['Kevin Hooks', 'Nelson George', 'Tommy Davidson', 'Joseph C. Phillips', 'Halle Berry', 'Anne-Marie Johnson', 'David Marshall Grant']",0,7683267 (domestic)
Guilty by Suspicion,"['Irwin Winkler', 'Robert De Niro', 'Annette Bening', 'George Wendt', 'Sam Wanamaker', 'Martin Scorsese']",16,9480198
Life Stinks,"['Mel Brooks', 'Ron Clark', 'Rudy De Luca', 'Steve Haberman', 'Lesley Ann Warren', 'Jeffrey Tambor']",13000000,4102526
A Brighter Summer Day,"['Edward Yang', 'Edward Yang', 'Chang Chen', 'Elaine Jin']",0,0
Highlander II: The Quickening,"['Russell Mulcahy', 'Christopher Lambert', 'Sean Connery', 'Virginia Madsen', 'Michael Ironside']",34,29977980
Cool as Ice,"['David Kellogg', 'Vanilla Ice', 'Kristin Minter', 'John Haymes Newton', 'Michael Gross', 'Candy Clark']",6,1193062
Delirious,"['Tom Mankiewicz', 'John Candy', 'Mariel Hemingway', 'Emma Samms', 'David Rasche', 'Charles Rocket', 'Dylan Walsh', 'Jerry Orbach', 'Rene Taylor', 'Raymond Burr']",18,5546827
High Heels,"['Pedro Almodvar', 'Victoria Abril', 'Marisa Paredes', 'Miguel Bos']",0,0
Soapdish,"['Michael Hoffman', 'Robert Harling', 'Andrew Bergman', 'Sally Field', 'Kevin Kline', 'Robert Downey, Jr.', 'Whoopi Goldberg', 'Elisabeth Shue', 'Teri Hatcher']",0,36489888
Bill & Ted's Bogus Journey,"['Pete Hewitt', 'Chris Matheson', 'Ed Solomon', 'Keanu Reeves', 'Alex Winter', 'William Sadler', 'Joss Ackland', 'George Carlin']",20000000,38037513 (domestic)
Billy Bathgate,"['Robert Benton', 'Dustin Hoffman', 'Nicole Kidman', 'Steven Hill', 'Loren Dean', 'Bruce Willis']",48,15565363
Curly Sue,"['John Hughes', 'Jim Belushi', 'Kelly Lynch', 'Alisan Porter']",25,33691313
The Fisher King,"['Terry Gilliam', 'Richard LaGravenese', 'Robin Williams', 'Jeff Bridges']",24,41895491
The Super,"['Rod Daniel', 'Sam Simon', 'Joe Pesci', 'Vincent Gardenia', 'Ruben Blades', 'Madolyn Smith Osborne', 'Stacey Travis', 'Carole Shelley', 'Kenny Blank', 'Steven Rodriguez']",22,11000863
Pure Luck,"['Nadia Tass', 'Francis Veber', 'Herschel Weingrod', 'Timothy Harris', 'Martin Short', 'Danny Glover', 'Sheila Kelly', 'Scott Wilson', 'Harry Shearer']",17,24941969
Mortal Thoughts,"['Alan Rudolph', 'William Reilly', 'Claude Kerven', 'Demi Moore', 'Glenne Headly', 'Bruce Willis', 'John Pankow', 'Harvey Keitel', 'Billie Neal', 'Frank Vincent']",8,19018321
Harley Davidson and the Marlboro Man,"['Simon Wincer', 'Don Michael Paul', 'Mickey Rourke', 'Don Johnson', 'Chelsea Field', 'Daniel Baldwin', 'Giancarlo Esposito', 'Tia Carrere', 'Vanessa Williams', 'Tom Sizemore']",23000000,7434726 (United States)
Hudson Hawk,"['Michael Lehmann', 'Danny Aiello', 'Andie MacDowell', 'James Coburn', 'Sandra Bernhard', 'Richard E. Grant']",65,17218080 (USA)
Jungle Fever,"['Spike Lee', 'Wesley Snipes', 'Annabella Sciorra', 'Ossie Davis', 'Ruby Dee', 'Samuel L. Jackson', 'Lonette McKee', 'John Turturro', 'Frank Vincent', 'Anthony Quinn']",14000000,43882682
Little Man Tate,"['Jodie Foster', 'Scott Frank', 'Dianne Wiest', 'Adam Hann-Byrd', 'Harry Connick Jr.']",10000000,25010896 (USA)
The Hitman,"['Aaron Norris', 'Don Carmody', 'Chuck Norris']",0,4654288 (US)
Star Trek VI: The Undiscovered Country,"['Nicholas Meyer', 'See Cast']",27,96888996
Other People's Money,[],0,0
One Good Cop,"['Heywood Gould', 'Michael Keaton', 'Rene Russo', 'Anthony LaPaglia', 'Benjamin Bratt']",0,11276846
An American Tail: Fievel Goes West,[],0,0
Point Break,"['Kathryn Bigelow', 'Patrick Swayze', 'Keanu Reeves', 'Gary Busey', 'Lori Petty', 'John C. McGinley', 'James LeGros']",24,83531958
For the Boys,[],0,0
Rambling Rose,[],0,0
Double Impact,"['Sheldon Lettich', 'Jean-Claude Van Damme', 'Geoffrey Lewis', 'Alan Scarfe', 'Philip Chan', 'Bolo Yeung', 'Corrina Everson']",15000000 (US),80039915
Dead Again,"['Kenneth Branagh', 'Scott Frank', 'Kenneth Branagh', 'Andy Garca', 'Emma Thompson', 'Lois Hall', 'Richard Easton', 'Jo Anderson', 'Derek Jacobi', 'Robin Williams']",15,38016380 (US)
Child's Play 3,"['Jack Bender', 'Don Mancini', 'Justin Whalin', 'Perrey Reeves', 'Brad Dourif']",13,20560255
Robin Hood: Prince of Thieves,[],0,0
The People Under the Stairs,"['Wes Craven', 'Brandon Adams', 'Everett McGill', 'Wendy Robie', 'A. J. Langer', 'Ving Rhames', 'Sean Whalen']",6,31347154
Cape Fear,"['Martin Scorsese', 'Robert De Niro', 'Nick Nolte', 'Juliette Lewis', 'Jessica Lange', 'Joe Don Baker', 'Robert Mitchum', 'Gregory Peck']",35,182291969
Dutch,[],0,0
Stepping Out,"['Lewis Gilbert', 'Richard Harris', 'Liza Minnelli', 'Shelley Winters', 'Julie Walters', 'Robyn Stevan', 'Bill Irwin', 'Ellen Greene', 'Jane Krakowski', 'Sheila McCarthy', 'Andrea Martin', 'Nora Dunn', 'Eugene Robert Glazer', 'Carol Woods']",0,246000
What About Bob?,"['Frank Oz', 'Tom Schulman', 'Bill Murray', 'Richard Dreyfuss']",35,63707829
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,"['Michael Pressman', 'Paige Turco', 'David Warner']",25,78656813 (USA)
Ernest Scared Stupid,"['John Cherry', 'Jim Varney', 'Shay Astar', 'Eartha Kitt']",0,14143280
