Movie_Name,Contributors,Budget,Revenue
The Invisible,"['David S. Goyer', 'Justin Chatwin', 'Margarita Levieva', 'Marcia Gay Harden', 'Chris Marquette', ""Alex O'Loughlin""]",0,26810113
Pathfinder,"['Marcus Nispel', 'Laeta Kalogridis', 'Karl Urban', 'Moon Bloodgood', 'Russell Means', 'Ralf Mller', 'Clancy Brown']",45,30822861
Michael Clayton,"['Tony Gilroy', 'George Clooney', 'Tom Wilkinson', 'Tilda Swinton', 'Sydney Pollack']",25,92991835
The Hoax,"['Lasse Hallstrm', 'Richard Gere', 'Alfred Molina', 'Marcia Gay Harden']",25000000,11772183
The Hitcher,[],0,0
The Last Legion,[],0,0
The Lookout,"['Scott Frank', 'Joseph Gordon-Levitt', 'Jeff Daniels', 'Matthew Goode', 'Isla Fisher', 'Bruce McGill']",16,5371181
Smokin' Aces,"['Joe Carnahan', 'Ben Affleck', 'Andy Garca', 'Alicia Keys', 'Ray Liotta', 'Jeremy Piven', 'Ryan Reynolds']",17,57103895
Hitman,"['Xavier Gens', 'Skip Woods', 'Timothy Olyphant', 'Dougray Scott', 'Robert Knepper', 'Olga Kurylenko']",24000000,99965792
Hot Fuzz,"['Edgar Wright', 'Simon Pegg', 'Nick Frost']",12,80736657
Fracture,"['Gregory Hoblit', 'Anthony Hopkins', 'Ryan Gosling', 'David Strathairn', 'Rosamund Pike', 'Embeth Davidtz', 'Billy Burke', 'Cliff Curtis', 'Fiona Shaw', 'Bob Gunton']",45,91354215
The Last Mimzy,[],0,0
Pride,[],0,0
The Condemned,"['Scott Wiper', 'Steve Austin', 'Vinnie Jones', 'Robert Mammone', 'Madeleine West', 'Emelia Burns', 'Rick Hoffman']",0,8642858
Evening,[],0,0
Blades of Glory,"['Will Speck', 'Will Ferrell', 'Jon Heder', 'Will Arnett', 'Amy Poehler', 'Jenna Fischer', 'Craig T. Nelson']",61,145708642
St Trinian's,"['Oliver Parker', 'Rupert Everett', 'Colin Firth', 'Russell Brand', 'Talulah Riley', 'Lena Headey', 'Gemma Arterton']",11.4 ),29066483
Norbit,[],0,0
Georgia Rule,"['Garry Marshall', 'Mark Andrus', 'Lindsay Lohan', 'Jane Fonda', 'Felicity Huffman']",20,24991167
Awake,"['Joby Harold', 'Hayden Christensen', 'Jessica Alba', 'Terrence Howard', 'Lena Olin', 'Arliss Howard']",8.6,32685679
Ghost Rider,"['Mark Steven Johnson', 'Nicolas Cage', 'Eva Mendes', 'Wes Bentley', 'Sam Elliott', 'Donal Logue', 'Peter Fonda']",110,228738393
Balls of Fury,"['Robert Ben Garant', 'Dan Fogler', 'Christopher Walken', 'George Lopez', 'Maggie Q', 'Thomas Lennon', 'Robert Patrick', 'Jason Scott Lee']",0,41098064
Good Luck Chuck,"['Mark Helfrich', 'Josh Stolberg', 'Dane Cook', 'Jessica Alba', 'Dan Fogler', 'Chelan Simmons']",25,59192128
Music and Lyrics,"['Marc Lawrence', 'Hugh Grant', 'Drew Barrymore', 'Brad Garrett', 'Kristen Johnston', 'Campbell Scott']",40,145896422
Aliens vs. Predator: Requiem,"['Greg Strause', 'Colin Strause', 'Shane Salerno', 'Steven Pasquale', 'Reiko Aylesworth', 'John Ortiz', 'Johnny Lewis', 'Ariel Gade']",40,128884494
Saw IV,"['Darren Lynn Bousman', 'Tobin Bell', 'Costas Mandylor', 'Scott Patterson', 'Betsy Russell', 'Lyriq Bent']",10,139352633
Arctic Tale,"['Linda Woolverton', 'Kristin Gore']",0,1858064
No Country For Old Men,"['Joel Coen', 'Ethan Coen', 'Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']",25,171.6
Nancy Drew,[],0,0
In the Valley of Elah,"['Paul Haggis', 'Tommy Lee Jones', 'Charlize Theron', 'Susan Sarandon', 'Jason Patric', 'Frances Fisher']",23,29524289
Elizabeth: The Golden Age,"['Shekhar Kapur', 'William Nicholson', 'Michael Hirst', 'Cate Blanchett', 'Geoffrey Rush', 'Clive Owen', 'Rhys Ifans', 'Jordi Moll', 'Abbie Cornish', 'Samantha Morton']",55,74237563
Slow Burn,[],0,0
National Treasure: Book of Secrets,"['Jon Turteltaub', 'Nicolas Cage', 'Diane Kruger', 'Justin Bartha', 'Jon Voight', 'Harvey Keitel', 'Ed Harris', 'Bruce Greenwood', 'Helen Mirren']",130,457.4
This Christmas,"['Preston A. Whitmore II', 'Delroy Lindo', 'Idris Elba', 'Loretta Devine', 'Chris Brown', 'Columbus Short', 'Regina King', 'Sharon Leal', 'Lauren London', 'Jessica Stroup', 'Keith Robinson']",13,49778552
Reign Over Me,"['Mike Binder', 'Mike Binder', 'Adam Sandler', 'Don Cheadle', 'Jada Pinkett Smith', 'Liv Tyler', 'Saffron Burrows', 'Donald Sutherland', 'Mike Binder']",20,22222308
Underdog,"['Frederik Du Chau', 'Jason Lee', 'Jim Belushi', 'Peter Dinklage', 'John Slattery', 'Patrick Warburton', 'Alex Neuberger', 'Taylor Momsen', 'Brad Garrett', 'Amy Adams']",60,65.3
Lucky You,"['Curtis Hanson', 'Eric Roth', 'Curtis Hanson', 'Eric Bana', 'Drew Barrymore', 'Robert Duvall', 'Debra Messing', 'Jean Smart']",55,8382477
Harry Potter and the Order of the Phoenix,"['David Yates', 'Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'See below']",150,939885929
Are We Done Yet?,[],0,0
Enchanted,"['Kevin Lima', 'Bill Kelly', 'Amy Adams', 'Patrick Dempsey', 'James Marsden', 'Timothy Spall', 'Idina Menzel', 'Susan Sarandon']",85,340.5
American Gangster,"['Ridley Scott', 'Russell Crowe', 'Denzel Washington', 'Chiwetel Ejiofor', 'Cuba Gooding, Jr.', 'Josh Brolin', 'Ted Levine', 'Armand Assante', 'John Ortiz', 'John Hawkes', 'RZA', 'Ruby Dee']",100,266465037
The Messengers,"['Pang Brothers', 'Stuart Beattie', 'Todd Farmer', 'Scott Derrickson', 'Kristen Stewart', 'Dylan McDermott', 'Penelope Ann Miller', 'John Corbett']",16000000,54957265
Hairspray,"['Adam Shankman', 'John Travolta', 'Michelle Pfeiffer', 'Christopher Walken', 'Amanda Bynes', 'James Marsden', 'Queen Latifah', 'Brittany Snow', 'Zac Efron', 'Elijah Kelley', 'Allison Janney', 'Nikki Blonsky']",75,202548575
Mr. Magorium's Wonder Emporium,"['Zach Helm', 'Dustin Hoffman', 'Natalie Portman', 'Jason Bateman', 'Zach Mills', 'Kiele Sanchez']",0,69474661
We Own the Night,"['James Gray', 'Mark Wahlberg', 'Eva Mendes', 'Robert Duvall']",21,54926886
P2,"['Franck Khalfoun', 'Rachel Nichols', 'Wes Bentley']",3.5,7766240
Evan Almighty,"['Tom Shadyac', 'Steve Carell', 'Morgan Freeman']",175,173418781
The Nanny Diaries,[],0,0
Mr. Woodcock,"['Craig Gillespie', 'David Dobkin', 'Michael Carnes', 'Seann William Scott', 'Billy Bob Thornton', 'Ethan Suplee', 'Amy Poehler', 'Susan Sarandon']",0,33
Halloween,"['Rob Zombie', 'Malcolm McDowell', 'Sheri Moon Zombie', 'Tyler Mane', 'Scout Taylor-Compton', 'Brad Dourif', 'Danielle Harris', 'William Forsythe']",15,80249467
Epic Movie,"['Jason Friedberg\nAaron Seltzer', 'Kal Penn', 'Adam Campbell', 'Jennifer Coolidge', 'Jayma Mays', 'Faune Chambers', 'Crispin Glover', 'Tony Cox', 'Hctor Jimnez', 'Fred Willard']",20,86865564 (Worldwide)
Next,"['Lee Tamahori', 'Nicolas Cage', 'Julianne Moore', 'Jessica Biel', 'Thomas Kretschmann', 'Tory Kittles', 'Peter Falk']",70,76066841
Alvin and the Chipmunks,"['Tim Hill', 'Jason Lee', 'David Cross', 'Cameron Richardson', 'Justin Long', 'Matthew Gray Gubler', 'Jesse McCartney']",60,361336633
I Know Who Killed Me,"['Chris Sivertson', 'Lindsay Lohan', 'Julia Ormond', 'Neal McDonough', 'Brian Geraghty', 'Garcelle Beauvais']",12,9669758
Breach,"['Billy Ray', 'Adam Mazer', 'Chris Cooper', 'Ryan Phillippe', 'Laura Linney', 'Dennis Haysbert', 'Caroline Dhavernas', 'Gary Cole']",23000000,40953935
The Brothers Solomon,"['Bob Odenkirk', 'Will Forte', 'Will Arnett', 'Chi McBride', 'Kristen Wiig', 'Malin kerman']",10,1035056
Grindhouse,"['Robert Rodriguez', 'Planet Terror', 'Machete', 'Quentin Tarantino', 'Death Proof', 'Rob Zombie', 'Werewolf Woman of the SS', 'Edgar Wright', ""Don't"", 'Eli Roth', 'Thanksgiving', 'Jason Eisener', 'Hobo with a Shotgun', 'Planet Terror', 'Rose McGowan', 'Freddy Rodriguez', 'Michael Biehn', 'Jeff Fahey', 'Josh Brolin', 'Marley Shelton', 'Stacy Ferguson', 'Bruce Willis', 'Death Proof', 'Kurt Russell', 'Rosario Dawson', 'Vanessa Ferlito', 'Jordan Ladd', 'Sydney Poitier', 'Tracie Thoms', 'Mary Elizabeth Winstead', 'Zo Bell']",53,25422088
The Brave One,"['Neil Jordan', 'Roderick Taylor', 'Bruce A. Taylor', 'Cynthia Mort', 'Jodie Foster', 'Naveen Andrews', 'Terrence Howard']",70,69787663
Ocean's Thirteen,"['Steven Soderbergh', 'Brian Koppelman', 'David Levien', 'George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy Garca', 'Don Cheadle', 'Bernie Mac', 'Ellen Barkin', 'Al Pacino']",85,311312624
The Reaping,"['Stephen Hopkins', 'Carey Hayes', 'Chad Hayes', 'Hilary Swank', 'David Morrissey', 'Idris Elba', 'AnnaSophia Robb', 'Stephen Rea']",40,62771059
Because I Said So,"['Michael Lehmann', 'Diane Keaton', 'Mandy Moore', 'Gabriel Macht', 'Tom Everett Scott', 'Lauren Graham', 'Colin Ferguson', 'Piper Perabo', 'Stephen Collins']",39,69485490
The Hunting Party,"['Richard Shepard', 'Richard Gere', 'Terrence Howard', 'Jesse Eisenberg', 'Ljubomir Kereke', 'Diane Kruger', 'James Brolin', 'Dylan Baker', 'Kristina Krepela', 'Aleksandra Grdi']",40,7644409 (total)
Zodiac,"['David Fincher', 'Jake Gyllenhaal', 'Mark Ruffalo', 'Robert Downey, Jr.', 'Anthony Edwards', 'Brian Cox', 'Elias Koteas', 'Donal Logue', 'John Carroll Lynch', 'Dermot Mulroney']",65,84785914
1408,"['Mikael Hfstrm', 'John Cusack', 'Samuel L. Jackson', 'Mary McCormack', 'Tony Shalhoub', 'Len Cariou', 'Isiah Whitlock, Jr.', 'Jasmine Jessica Anthony']",25,131998242
Rush Hour 3,"['Brett Ratner', 'Jeff Nathanson', 'Jackie Chan', 'Chris Tucker', 'Hiroyuki Sanada', 'Noemie Lenoir', 'Tzi Ma', 'Max von Sydow']",140,258022233
The Game Plan,"['Andy Fickman', 'Kathryn Price', 'Audrey Wells', 'Dwayne Johnson', 'Madison Pettis', 'Kyra Sedgwick', 'Roselyn Sanchez', 'Morris Chestnut', 'Hayes MacArthur', 'Brian J. White', 'Paige Turco', 'Jamal Duff']",22,147.9
Starter for 10,"['Tom Vaughan', 'David Nicholls', 'James McAvoy', 'Alice Eve', 'Rebecca Hall', 'Dominic Cooper']",8287000,1736394
Kickin' It Old Skool,"['Maria Menounos', 'Michael Rosenbaum', 'Miguel A. Nez Jr.', 'Christopher McDonald', 'Bobby Lee', 'Debra Jo Rupp', 'Vivica A. Fox']",25.7,4.4
Martian Child,"['Menno Meyjes', 'David Gerrold', 'John Cusack', 'Bobby Coleman', 'Amanda Peet', 'Sophie Okonedo', 'Oliver Platt', 'Joan Cusack']",27,9292446
Death Sentence,"['James Wan', 'Kevin Bacon', 'Garrett Hedlund', 'Kelly Preston', 'Jordan Garrett', 'Stuart Lafferty', 'Aisha Tyler', 'John Goodman']",20,16974459
D-War,"['Shim Hyung-rae', 'Jason Behr', 'Amanda Brooks', 'Robert Forster', 'Chris Mulkey', 'Elizabeth Pena']",32,75108998
Dead Silence,"['James Wan', 'Ryan Kwanten', 'Amber Valletta', 'Donnie Wahlberg', 'Michael Fairman', 'Bob Gunton', 'Laura Regan']",20,22217407
There Will Be Blood,"['Paul Thomas Anderson', 'Daniel Day-Lewis', 'Paul Dano']",25,76181545
