Movie_Name,Contributors,Budget,Revenue
Just Visiting,"['Jean-Marie Gaubert', 'Jean Reno', 'Christina Applegate', 'Christian Clavier', 'Malcolm McDowell', 'Tara Reid', 'Bridgette Wilson']",35,16176732
Joe Dirt,"['Dennie Gordon', 'David Spade', 'Fred Wolf', 'Brittany Daniel', 'Dennis Miller', 'Adam Beach', 'Christopher Walken', 'Jaime Pressly', 'Kid Rock']",17.7,30987695
American Outlaws,"['Les Mayfield', 'Roderick Taylor', 'John Rogers', 'Colin Farrell', 'Scott Caan', 'Ali Larter', 'Nathaniel Arcand', 'Gabriel Macht', 'Gregory Smith', 'Harris Yulin', 'Will McCormack', 'Ronny Cox', ""Terry O'Quinn"", 'Kathy Bates', 'Timothy Dalton']",35,13342790
The Brothers,"['Morris Chestnut', 'D.L. Hughley', 'Bill Bellamy', 'Shemar Moore', 'Gabrielle Union']",6000000,27958191
Town & Country,"['Peter Chelsom', 'Buck Henry', 'Warren Beatty', 'Diane Keaton', 'Goldie Hawn', 'Garry Shandling', 'Andie MacDowell', 'Jenna Elfman', 'Nastassja Kinski', 'Charlton Heston']",90,10372291
Enemy at the Gates,"['Jean-Jacques Annaud', 'Jude Law', 'Joseph Fiennes', 'Rachel Weisz', 'Bob Hoskins', 'Ed Harris', 'Ron Perlman']",68000000,96976270
The Glass House,"['Daniel Sackheim', 'Wesley Strick', 'Leelee Sobieski', 'Diane Lane', 'Stellan Skarsgrd', 'Bruce Dern', 'Kathy Baker', 'Trevor Morgan', 'Chris Noth']",30,23619609
Lara Croft: Tomb Raider,"['Simon West', 'Angelina Jolie', 'Jon Voight', 'Iain Glen', 'Noah Taylor', 'Daniel Craig']",115,274703340
Megiddo: The Omega Code 2,"['Brian Trenchard-Smith', 'John Fasano', 'Michael York', 'Michael Biehn', 'Diane Venora', 'R. Lee Ermey', 'Udo Kier', 'Franco Nero']",20,5974653 (USA) (11 November 2001)
Head over Heels,"['Mark Waters', 'John J. Strauss', 'Ed Decter', 'Monica Potter', 'Freddie Prinze Jr.', 'Shalom Harlow']",14,13127022
In the Bedroom,"['Todd Field', 'Sissy Spacek', 'Tom Wilkinson', 'Nick Stahl', 'Marisa Tomei']",1.7,43368779
Freddy Got Fingered,[],0,0
Harry Potter and the Philosopher's Stone,"['Chris Columbus', 'Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",125,981755371
Sweet November,"[""Pat O'Connor"", 'Keanu Reeves', 'Charlize Theron']",40,65754228
3000 Miles to Graceland,"['Kurt Russell', 'Kevin Costner', 'Courteney Cox Arquette', 'Christian Slater', 'Kevin Pollak', 'David Arquette', 'Jon Lovitz', 'Howie Long', 'Thomas Haden Church', 'Bokeem Woodbine', 'Ice-T']",62,18720175 (worldwide)
Jimmy Neutron: Boy Genius,[],0,0
The Mummy Returns,"['Stephen Sommers', 'Brendan Fraser', 'Rachel Weisz', 'John Hannah', 'Arnold Vosloo', 'Oded Fehr', 'Patricia Velsquez', 'The Rock']",98,433013274
Evolution,[],0,0
Monkeybone,"['Henry Selick', 'Brendan Fraser', 'Bridget Fonda', 'Chris Kattan', 'Whoopi Goldberg', 'Rose McGowan', 'Giancarlo Esposito', 'John Turturro']",75,7622365
Heist,"['David Mamet', 'Gene Hackman', 'Danny DeVito', 'Delroy Lindo']",39000000,28510652
The Last Castle,"['Rod Lurie', 'David Scarpa', 'Graham Yost', 'Sam Mercer', 'Robert Redford', 'James Gandolfini', 'Mark Ruffalo', 'Delroy Lindo']",72,27642707
From Hell,[],0,0
The Princess Diaries,"['Garry Marshall', 'Julie Andrews', 'Anne Hathaway', 'Heather Matarazzo', 'Hctor Elizondo', 'Mandy Moore', 'Caroline Goodall', 'Robert Schwartzman']",26,165335153
Final Fantasy: The Spirits Within,"['Hironobu Sakaguchi', 'Ming-Na', 'Alec Baldwin', 'James Woods', 'Donald Sutherland', 'Ving Rhames', 'Steve Buscemi', 'Peri Gilpin']",137,85131830
Domestic Disturbance,"['Harold Becker', 'Lewis Colick', 'William S. Comanor', 'Gary Drucker', 'John Travolta', 'Vince Vaughn', 'Teri Polo', ""Matt O'Leary"", 'Steve Buscemi']",75,54249294
Osmosis Jones,"['Tom Sito', 'Robert Farrelly\nPeter Farrelly', 'Marc Hyman', 'Chris Rock', 'Laurence Fishburne', 'David Hyde Pierce', 'Brandy Norwood', 'William Shatner', 'Molly Shannon', 'Chris Elliott', 'Bill Murray']",70,14026418
Double Take,"['George Gallo', 'Eddie Griffin', 'Orlando Jones', 'Edward Hermann', 'Gary Grubbs', 'Daniel Roebuck']",0,31603059
Ocean's Eleven,"['Steven Soderbergh', 'George Clooney', 'Matt Damon', 'Andy Garca', 'Brad Pitt', 'Julia Roberts']",85,450717150
Riding in Cars with Boys,[],0,0
Scary Movie 2,"['Keenen Ivory Wayans', 'Dave Polsky', 'Craig Wayans', 'Anna Faris', 'Regina Hall', 'Chris Masterson', 'Kathleen Robertson', 'David Cross', 'James Woods', 'Tim Curry', 'Tori Spelling', 'Chris Elliott']",45,141220678
See Spot Run,"['John Whitesell', 'George Gallo', 'David Arquette', 'Angus T. Jones', 'Paul Sorvino', 'Michael Clarke Duncan']",16000000,0
Kiss of the Dragon,"['Chris Nahon', 'Bridget Fonda', 'Tchky Karyo']",25,64437847
Revolution OS,"['J. T. S. Moore', 'J. T. S. Moore', 'Richard Stallman', 'Linus Torvalds', 'Eric S. Raymond', 'Bruce Perens']",0,0
