Movie_Name,Contributors,Budget,Revenue
Martin Lawrence Live: Runteldat,"['David Raynr', 'Martin Lawrence']",3,19184820
The Powerpuff Girls Movie,"['Craig McCracken', 'Cathy Cavadini', 'Tara Strong', 'E.G. Daily', 'Roger L. Jackson', 'Tom Kane']",11,16.4
Ali G Indahouse,['Mark Mylod'],0,25936616
The Scorpion King,"['Chuck Russell', 'The Rock', 'Kelly Hu', 'Bernard Hill', 'Grant Heslov', 'Peter Facinelli', 'Steven Brand', 'Michael Clarke Duncan']",60,165333180
Abandon,"['Stephen Gaghan', 'Stephen Gaghan', 'Katie Holmes', 'Benjamin Bratt', 'Charlie Hunnam', 'Zooey Deschanel', 'Fred Ward']",25,12302219
Half Past Dead,"['Don Michael Paul', 'Ja Rule', 'Morris Chestnut', 'Nia Peeples', 'Tony Plana', 'Kurupt', 'Michael ""Bear"" Talliferro']",13,19233280
Life or Something Like It,"['Stephen Herek', 'Angelina Jolie', 'Edward Burns', 'Stockard Channing', 'Christian Kane', 'Tony Shalhoub']",40000000,16872671
Spy Kids 2: The Island of Lost Dreams,"['Robert Rodriguez', 'Antonio Banderas', 'Carla Gugino', 'Alexa Vega', 'Daryl Sabara', 'Mike Judge', 'Ricardo Montalbn', 'Holland Taylor', 'Christopher McDonald', 'Danny Trejo', 'Cheech Marin', 'Steve Buscemi']",38,119723358
8 Mile,"['Curtis Hanson', 'Scott Silver', 'Eminem', 'Kim Basinger', 'Brittany Murphy', 'Mekhi Phifer']",41,242875078
Sweet Home Alabama,"['Andy Tennant', 'C. Jay Cox', 'Douglas J. Eboch', 'Reese Witherspoon', 'Josh Lucas', 'Patrick Dempsey', 'Candice Bergen', 'Mary Kay Place', 'Fred Ward', 'Ethan Embry', 'Melanie Lynskey', 'Mary Lynn Rajskub', 'Jean Smart', 'Dakota Fanning']",38,180622424
John Q,"['Nick Cassavetes', 'James Kearns', 'Denzel Washington', 'Robert Duvall', 'James Woods', 'Anne Heche', 'Kimberly Elise', 'Ray Liotta', 'Eddie Griffin']",36,102244770
Lilo & Stitch,"['Chris Sanders', 'Dean DeBlois', 'Daveigh Chase', 'Tia Carrere', 'David Ogden Stiers', 'Kevin McDonald', 'Ving Rhames', 'Kevin Michael Richardson', 'Jason Scott Lee', 'Zoe Caldwell']",80,273.1
Trapped,"['Luis Mandoki', 'Greg Iles', 'Charlize Theron', 'Courtney Love', 'Stuart Townsend', 'Kevin Bacon', 'Dakota Fanning', 'Pruitt Taylor Vince']",30,13414416
Men in Black II,"['Barry Sonnenfeld', 'Tommy Lee Jones', 'Will Smith', 'Lara Flynn Boyle', 'Johnny Knoxville', 'Rosario Dawson', 'Tony Shalhoub', 'Rip Torn']",140,441818803
The New Guy,"['Ed Decter', 'David Kendall', 'DJ Qualls', 'Eliza Dushku', 'Zooey Deschanel', 'Lyle Lovett', 'Eddie Griffin']",13,31167388
Eight Legged Freaks,"['Ellory Elkayem', 'David Arquette', 'Kari Whrer', 'Scott Terra', 'Doug E. Doug', 'Scarlett Johansson']",30,45867333
The Ring,"['Gore Verbinski', 'Kji Suzuki', 'Ehren Kruger', 'Scott Frank', 'Naomi Watts', 'Martin Henderson', 'Brian Cox', 'Daveigh Chase']",48,249348933
The Master of Disguise,"['Dana Carvey', 'Harris Goldberg', 'Jennifer Esposito', 'James Brolin', 'Brent Spiner']",16,43411001
Frailty,"['Bill Paxton', 'Bill Paxton', 'Matthew McConaughey', 'Powers Boothe', ""Matt O'Leary"", 'Jeremy Sumpter', 'Levi Kreis']",11000000,17423030
Orange County,[],0,0
Kung Pow! Enter the Fist,[],0,0
The Count of Monte Cristo,"['Kevin Reynolds', 'Jim Caviezel', 'Guy Pearce', 'Richard Harris', 'James Frain', 'Dagmara Dominczyk', 'Luis Guzmn']",35,75395048
Tuck Everlasting,[],0,0
Star Trek: Nemesis,"['Stuart Baird', 'See Cast']",60,67312826
Clockstoppers,"['Jonathan Frakes', 'Jesse Bradford', 'Paula Garcs', 'French Stewart', 'Michael Biehn']",26,38793283
Swimfan,"['John Polson', 'Jesse Bradford', 'Erika Christensen', 'Shiri Appleby', 'Clayne Crawford', 'Jason Ritter', 'Dan Hedaya']",10,34411240
Friday After Next,"['Marcus Raboy', 'Mike Epps', 'John Witherspoon', 'Don ""D.C."" Curry', 'Anna Maria Horsford', 'Clifton Powell', 'Katt Williams', 'K.D. Aubert', 'Terry Crews']",0,33526835
Deuces Wild,"['Scott Kalvert', 'Stephen Dorff', 'Brad Renfro', 'Fairuza Balk', 'Vincent Pastore', 'Frankie Muniz', 'Balthazar Getty', 'Matt Dillon', 'Norman Reedus']",10,6282446
Big Fat Liar,"['Shawn Levy', 'Frankie Muniz', 'Paul Giamatti', 'Amanda Bynes']",15,52970014
The Mothman Prophecies,"['Mark Pellington', 'Richard Gere', 'Laura Linney', 'Will Patton', 'Debra Messing', 'Lucinda Jenney', 'Alan Bates']",32000000,55157539
Hollywood Ending,"['Woody Allen', 'George Hamilton', 'Ta Leoni', 'Debra Messing', 'Mark Rydell', 'Treat Williams', 'Tiffani Thiessen']",16,14839383
Jonah: A VeggieTales Movie,[],0,0
Gangs of New York,"['Martin Scorsese', 'Leonardo DiCaprio', 'Daniel Day-Lewis', 'Cameron Diaz', 'Liam Neeson', 'Jim Broadbent', 'John C. Reilly', 'Henry Thomas', 'Brendan Gleeson']",100,193772504
The Time Machine,[],0,0
The 51st State,[],0,0
The Country Bears,"['Christopher Walken', 'Daryl Mitchell', 'Diedrich Bader', 'Alex Rocco', 'Haley Joel Osment']",35,18012097
Austin Powers in Goldmember,"['Jay Roach', 'Mike Myers', 'Michael McCullers', 'Mike Myers', 'Beyonc Knowles', 'Seth Green', 'Michael York', 'Robert Wagner', 'Mindy Sterling', 'Verne Troyer', 'Michael Caine']",63,296655431
Return to Never Land,"['Donovan Cook', 'Harriet Owen', 'Blayne Weaver', 'Corey Burton', 'Jeff Bennett']","26,223,867)",144051217)
Spider-Man,"['Sam Raimi', 'Tobey Maguire', 'Willem Dafoe', 'Kirsten Dunst', 'James Franco', 'Cliff Robertson', 'Rosemary Harris']",140,821.7
Windtalkers,"['John Woo', 'Nicolas Cage', 'Adam Beach', 'Peter Stormare', 'Noah Emmerich', 'Mark Ruffalo', 'Christian Slater']",115,77628265
Jackass: The Movie,"['Jeff Tremaine', 'Jeff Tremaine', 'Spike Jonze', 'Johnny Knoxville', 'Bam Margera', 'Chris Pontius', 'Steve-O', 'Ryan Dunn', 'Dave England', 'Jason ""Wee Man"" Acua', 'Preston Lacy', 'Ehren McGhehey', 'Brandon Dicamillo', 'Dimitry Elyashkevich', 'Loomis Fall', 'Vernon Chatman', 'Johnny Knoxville', 'Bam Margera', 'Chris Pontius', 'Steve-O', 'Ryan Dunn', 'Dave England', 'Jason ""Wee Man"" Acua', 'Preston Lacy', 'Ehren McGhehey']",5,79497930
Rollerball,[],0,0
Changing Lanes,"['Roger Michell', 'Michael Tolkin', 'Ben Affleck', 'Samuel L. Jackson', 'Toni Collette', 'Sydney Pollack', 'William Hurt', 'Amanda Peet']",45,94935764
Sorority Boys,"['Wallace Wolodarsky', 'Greg Coolidge', 'Barry Watson', 'Michael Rosenbaum', 'Harland Williams']",12,12517488
Eight Crazy Nights,"['Jackie Titone', 'Rob Schneider']",0,23.8
Snow Dogs,"['Brian Levant', 'Jim Kouf', 'Michael Goldberg', 'Mark Gibson', 'Cuba Gooding, Jr.', 'James Coburn', 'Sisq', 'Nichelle Nichols', 'Graham Greene']",33,115035090
The Crocodile Hunter: Collision Course,"['John Stainton', 'Holly Goldberg Sloan', 'Steve Irwin', 'Terri Irwin', 'Magda Szubanski', 'David Wenham', 'Aden Young', 'Steve Bastoni', 'Lachy Hulme', 'Steve Vidler', 'Kate Beahan']",12,33436931
The Rookie,[],0,0
The Santa Clause 2,"['Michael Lembeck', 'Don Rhymer', 'Cinco Paul', 'Ken Daurio', 'Ed Decter', 'John J. Strauss', 'Tim Allen', 'Eric Lloyd', 'Elizabeth Mitchell', 'Judge Reinhold', 'Wendy Crewson', 'David Krumholtz', 'Liliana Mumy', 'Spencer Breslin']",65,172855065
