Movie_Name,Contributors,Budget,Revenue
Far Out Man,"['Tommy Chong', 'Tommy Chong', 'Tommy Chong', 'C. Thomas Howell', 'Rae Dawn Chong', 'Shelby Chong', 'Paris Chong', 'Martin Mull', 'Judd Nelson', 'Michael Winslow', 'Cheech Marin', 'Paul Bartel']",BudgetUnknown,Box officeUnknown
Ernest Goes to Jail,"['John R. Cherry III', 'Jim Varney', 'Gailard Sartain']",0,25029569
Tales from the Darkside: The Movie,"['John Harrison', 'Deborah Harry', 'Christian Slater', 'David Johansen', 'William Hickey', 'James Remar', 'Rae Dawn Chong']",3500000 (est.),16324573
Young Guns II,"['Geoff Murphy', 'John Fusco', 'Emilio Estevez', 'Kiefer Sutherland', 'Lou Diamond Phillips', 'Christian Slater', 'William Petersen', 'James Coburn', 'Alan Ruck', 'Balthazar Getty']",0,44143410
Tremors,"['Ron Underwood', 'Kevin Bacon', 'Fred Ward', 'Finn Carter', 'Michael Gross', 'Reba McEntire']",11,48572000
King of New York,"['Abel Ferrara', 'Christopher Walken', 'Laurence Fishburne', 'David Caruso', 'Wesley Snipes']",0,2554476
Nuns on the Run,"['Jonathan Lynn', 'Eric Idle', 'Robbie Coltrane', 'Camille Coduri', 'Janet Suzman', 'Doris Hare']",0,10959015
The Hot Spot,"['Dennis Hopper', 'Charles Williams', 'Don Johnson', 'Virginia Madsen', 'Jennifer Connelly']",0,1293976
Gremlins 2: The New Batch,"['Joe Dante', 'Charles S. Haas', 'Zach Galligan', 'Phoebe Cates', 'John Glover', 'Robert Prosky', 'Robert Picardo', 'Christopher Lee']",50,41482207 (United States)
Downtown,"['Richard Benjamin', 'Anthony Edwards', 'Forest Whitaker', 'Penelope Ann Miller']",0,2346150
Blood Oath,"['Stephen Wallace', 'Denis Whitburn', 'Brian A. Williams', 'Bryan Brown', 'George Takei', ""Terry O'Quinn""]",10,707194 (Australia)
The Rescuers Down Under,"['Mike Gabriel', 'Bob Newhart', 'Eva Gabor', 'John Candy', 'Tristan Rogers', 'Adam Ryen', 'George C. Scott', 'Frank Welker', 'Wayne Robson', 'Russi Taylor', 'Bernard Fox', 'Douglas Seale']",0,27.9
Loose Cannons,"['Bob Clark', 'Richard Christian Matheson', 'Richard Matheson', 'Gene Hackman', 'Dan Aykroyd', 'Dom DeLuise', 'Ronny Cox', 'Nancy Travis', 'Paul Koslo', ""Dick O'Neill"", 'Robert Prosky', 'Jan Triska', 'Leon Rippy']",15,5585154
"Welcome Home, Roxy Carmichael","['Jim Abrahams', 'Winona Ryder', 'Jeff Daniels']",13,3989297
RoboCop 2,"['Irvin Kershner', 'Peter Weller', 'Nancy Allen', ""Dan O'Herlihy"", 'Belinda Bauer', 'Tom Noonan', 'Gabriel Damon']",35,45681173 (UnitedStates)
Graveyard Shift,"['David Andrews', 'Stephen Macht', 'Brad Dourif']",10.5,11582891
The Handmaid's Tale,"['Volker Schlndorff', 'Margaret Atwood', 'Harold Pinter', 'Natasha Richardson', 'Faye Dunaway', 'Robert Duvall', 'Aidan Quinn', 'Elizabeth McGovern']",13000000,4960385
Pump Up the Volume,"['Allan Moyle', 'Christian Slater', 'Samantha Mathis']",0,11541758 (USA)
Kindergarten Cop,"['Ivan Reitman', 'Arnold Schwarzenegger', 'Penelope Ann Miller', 'Pamela Reed', 'Linda Hunt', 'Carroll Baker']",15,201957688
Mo' Better Blues,"['Spike Lee', 'Denzel Washington', 'Wesley Snipes', 'Giancarlo Esposito', 'Robin Harris', 'Joie Lee', 'Bill Nunn', 'John Turturro', 'Dick Anthony Williams', 'Cynda Williams']",10,16153600 (USA) (sub-total)
Darkman,"['Sam Raimi', 'Liam Neeson', 'Frances McDormand', 'Colin Friels', 'Larry Drake']",16,48878502
The Swordsman,"['King Hu', 'Ching Siu-tung', 'Ann Hui', 'Andrew Kam', 'Tsui Hark', 'Sam Hui', 'Cecilia Yip', 'Jacky Cheung', 'Sharla Cheung']",0,0
Havana,"['Sydney Pollack', 'Judith Rascoe', 'David Rayfiel', 'Robert Redford', 'Lena Olin', 'Ral Juli', 'Alan Arkin']",40,9243140
Where the Heart Is,"['John Boorman', 'Dabney Coleman', 'Suzy Amis', 'Uma Thurman', 'Crispin Glover', 'Joanna Cassidy', 'Christopher Plummer', 'David Hewlett']",22,1106475
Stella,"['John Erman', 'Bette Midler', 'John Goodman', 'Trini Alvarado', 'Stephen Collins', 'Marsha Mason']",0,20240128 (USA)
