Movie_Name,Contributors,Budget,Revenue
Thanks for Sharing,"['Stuart Blumberg', 'Mark Ruffalo', 'Tim Robbins', 'Gwyneth Paltrow', 'Josh Gad', 'Joely Richardson', 'Alecia Moore']",0,1065881
Parental Guidance,"['Andy Fickman', 'Billy Crystal', 'Bette Midler', 'Marisa Tomei', 'Tom Everett Scott', 'Bailee Madison', 'Kyle Harrison Breitkopf', 'Joshua Rush']",25,119772232
Dino Time,"['Pamela Adlon', 'Tara Strong', 'Jane Lynch', 'Yuri Lowenthal', 'Fred Tatasciore', 'Melanie Griffith', 'Rob Schneider']",0,0
The Hunger Games,"['Gary Ross', 'Jennifer Lawrence', 'Josh Hutcherson', 'Liam Hemsworth', 'Woody Harrelson', 'Elizabeth Banks', 'Lenny Kravitz', 'Stanley Tucci', 'Donald Sutherland']",78,691247768
The Lorax,"['Chris Renaud', 'Danny DeVito', 'Ed Helms', 'Zac Efron', 'Taylor Swift', 'Betty White', 'Rob Riggle', 'Jenny Slate']",70,348840316
The Expendables 2,"['Simon West', 'Jason Statham', 'Jet Li', 'Dolph Lundgren', 'Chuck Norris', 'Terry Crews', 'Randy Couture', 'Liam Hemsworth', 'Jean-Claude Van Damme', 'Bruce Willis', 'Arnold Schwarzenegger']",100,311.9
Battleship,"['Peter Berg', 'Taylor Kitsch', 'Alexander Skarsgrd', 'Rihanna', 'Brooklyn Decker', 'Tadanobu Asano', 'Liam Neeson']",209,303025485
Rust and Bone,"['Jacques Audiard', 'Marion Cotillard', 'Matthias Schoenaerts']",20 ),25807712
Fun Size,[],0,0
Robot & Frank,"['Jake Schreier', 'Frank Langella', 'Susan Sarandon', 'Peter Sarsgaard', 'James Marsden', 'Liv Tyler']",2500000,3325038
Searching for Sugar Man,"['Malik Bendjelloul', 'Sixto Rodriguez']",0,9122406
Being Flynn,"['Paul Weitz', 'Robert De Niro', 'Paul Dano', 'Olivia Thirlby', 'Julianne Moore']",0,540152
The Cabin in the Woods,"['Drew Goddard', 'Kristen Connolly', 'Chris Hemsworth', 'Anna Hutchison', 'Fran Kranz', 'Jesse Williams', 'Richard Jenkins', 'Bradley Whitford']",30,66486080
The Collection,"['Marcus Dunstan', 'Patrick Melton', 'Josh Stewart', 'Lee Tergesen', 'Christopher McDonald']",0,6.8
The Paperboy,[],0,0
The Sessions,"['Ben Lewin', 'John Hawkes', 'Helen Hunt', 'William H. Macy', 'Moon Bloodgood']",1,9138338
Antiviral,"['Brandon Cronenberg', 'Caleb Landry Jones']",3.3,61808
Nobody Walks,"['Ry Russo-Young', 'Lena Dunham', 'John Krasinski', 'Olivia Thirlby', 'Rosemarie DeWitt', 'Jane Levy']",0,25342
Silver Linings Playbook,"['David O. Russell', 'Bradley Cooper', 'Jennifer Lawrence', 'Robert De Niro', 'Jacki Weaver', 'Chris Tucker', 'Anupam Kher']",21,236412453
John Carter,"['Andrew Stanton', 'Taylor Kitsch', 'Lynn Collins', 'Samantha Morton', 'Mark Strong', 'Ciarn Hinds', 'Dominic West', 'James Purefoy', 'Willem Dafoe']",263.7,284.1
Talaash: The Answer Lies Within,"['Reema Kagti', 'Farhan Akhtar', 'Anurag Kashyap', 'Aamir Khan', 'Rani Mukerji', 'Kareena Kapoor Khan', 'Nawazuddin Siddiqui', 'Shernaz Patel', 'Rajkummar Rao', 'Vivan Bhatena', 'Sheeba Chaddha', 'Gulfam Khan']",6.5),28)(worldwide)
