Movie_Name,Contributors,Budget,Revenue
The Tree of Life,"['Terrence Malick', 'Brad Pitt', 'Sean Penn', 'Jessica Chastain']",32,54303319
Killer Elite,"['Gary McKendry', 'Clive Owen', 'Jason Statham', 'Robert De Niro']",70,56383756
Winnie Mandela,"['Darrell Roodt', 'Darrell Roodt', 'Jennifer Hudson', 'Terrence Howard', 'Wendy Crewson', 'Elias Koteas']",0,80634
Diana Vreeland: The Eye Has to Travel,[],0,1017579
The Three Musketeers,"['Paul W. S. Anderson', 'Andrew Davies', 'Matthew Macfadyen', 'Logan Lerman', 'Ray Stevenson', 'Luke Evans', 'Milla Jovovich', 'Orlando Bloom', 'Christoph Waltz']",75,132274484
Unknown,"['Jaume Collet-Serra', 'Liam Neeson', 'Diane Kruger', 'January Jones', 'Aidan Quinn', 'Frank Langella']",30,136123083
The Devil's Double,"['Lee Tamahori', 'Dominic Cooper', 'Philip Quast', 'Ludivine Sagnier']",19.1,4807493
50/50,"['Jonathan Levine', 'Will Reiser', 'Joseph Gordon-Levitt', 'Seth Rogen', 'Anna Kendrick', 'Bryce Dallas Howard', 'Anjelica Huston']",8,39187783
Battle: Los Angeles,"['Jonathan Liebesman', 'Chris Bertolini', 'Aaron Eckhart', 'Michelle Rodriguez', 'Ramon Rodriguez', 'Bridget Moynahan', 'Ne-Yo', 'Michael Pea']",70,211819354
Immortals,"['Tarsem Singh', 'Henry Cavill', 'Stephen Dorff', 'Luke Evans', 'Isabel Lucas', 'Kellan Lutz', 'Freida Pinto', 'Mickey Rourke']",75,226904017
Rise of the Planet of the Apes,"['Rupert Wyatt', 'James Franco', 'Freida Pinto', 'John Lithgow', 'Brian Cox', 'Tom Felton', 'David Oyelowo', 'Andy Serkis']",93,481801049
Harry Potter and the Deathly Hallows  Part 2,"['David Yates', 'Daniel Radcliffe', 'Rupert Grint', 'Emma Watson']",250(Shared with Part 1),1341511219
Drive Angry,"['Patrick Lussier', 'Todd Farmer', 'Nicolas Cage', 'Amber Heard', 'William Fichtner', 'Billy Burke', 'Charlotte Ross', 'Katy Mixon', 'Tom Atkins']",4555,28931401
The Roommate,"['Christian E. Christiansen', 'Leighton Meester', 'Minka Kelly', 'Cam Gigandet', 'Danneel Harris', 'Matt Lanter', 'Aly Michalka', 'Katerina Graham', 'Cherilyn Wilson', 'Billy Zane', 'Frances Fisher', 'Tomas Arana', 'Nina Dobrev']",16,40492759 
The Darkest Hour,"['Chris Gorak', 'Emile Hirsch', 'Olivia Thirlby', 'Max Minghella', 'Rachael Taylor']",30,64626786
Fullmetal Alchemist: The Sacred Star of Milos,"['Kazuya Murata', 'Romi Park', 'Rie Kugimiya', 'Maaya Sakamoto', 'Toshiyuki Morikawa', 'Sakiko Tamagawa', 'Shin-ichiro Miki', 'Fumiko Orikasa', 'Megumi Takamoto', 'Kenji Utsumi']",0,7.4  (Japan)
Like Crazy,"['Drake Doremus', 'Ben York Jones', 'Anton Yelchin', 'Felicity Jones', 'Jennifer Lawrence', 'Alex Kingston']",250000,3542353
Final Destination 5,"['Steven Quale', 'Eric Heisserer', ""Nicholas D'Agosto"", 'Emma Bell', 'Miles Fisher', 'Arlen Escarpeta', 'David Koechner', 'Tony Todd']",40,157887643
Scream 4,"['Wes Craven', 'Ehren Kruger', 'Scott Derrickson', 'David Arquette', 'Neve Campbell', 'Courteney Cox', 'Emma Roberts', 'Hayden Panettiere']",40,101314231
Margaret,"['Kenneth Lonergan', 'Anna Paquin', 'Matt Damon', 'Mark Ruffalo', 'Kieran Culkin', 'Olivia Thirlby', 'Rosemarie DeWitt', 'J. Smith-Cameron', 'Matthew Broderick', 'Allison Janney', 'Jean Reno']",14000000,564864
X-Men: First Class,"['Matthew Vaughn', 'James McAvoy', 'Michael Fassbender', 'Rose Byrne', 'Jennifer Lawrence', 'January Jones', 'Nicholas Hoult', 'Oliver Platt', 'Jason Flemyng', 'Lucas Till', 'Edi Gathegi', 'Kevin Bacon']",140160,353624124
We Need to Talk About Kevin,"['Lynne Ramsay', 'Tilda Swinton', 'John C. Reilly', 'Ezra Miller']",7,7493626
Anonymous,"['Roland Emmerich', 'John Orloff', 'Rhys Ifans', 'Vanessa Redgrave', 'Joely Richardson', 'David Thewlis', 'Xavier Samuel', 'Sebastian Armesto', 'Rafe Spall', 'Edward Hogg', 'Jamie Campbell Bower', 'Mark Rylance', 'Trystan Gravelle', 'Derek Jacobi']",30,15395087
War Horse,"['Steven Spielberg', 'Jeremy Irvine', 'Emily Watson', 'David Thewlis', 'Niels Arestrup', 'Tom Hiddleston', 'Toby Kebbell', 'Peter Mullan', 'Patrick Kennedy']",66,177.6
In the Land of Blood and Honey,"['Angelina Jolie', '[1]', 'Goran Kosti', 'Zana Marjanovi', 'Rade erbedija']",13,1203699
Surviving Progress,[],0,0
Carnage,"['Roman Polanski', 'Jodie Foster', 'Kate Winslet', 'Christoph Waltz', 'John C. Reilly']",25,27603069
New Year's Eve,"['Garry Marshall', 'Katherine Fugate', 'Halle Berry', 'Jessica Biel', 'Jon Bon Jovi', 'Abigail Breslin', 'Chris ""Ludacris"" Bridges', 'Robert De Niro', 'Josh Duhamel', 'Zac Efron', 'Hector Elizondo', 'Katherine Heigl', 'Ashton Kutcher', 'Seth Meyers', 'Lea Michele', 'Sarah Jessica Parker', 'Michelle Pfeiffer', 'Til Schweiger', 'Hilary Swank', 'Sofa Vergara']",56,142044638
Buck,['Cindy Meehl'],0,3.4  (8/11/11)
Win Win,"['Thomas McCarthy', 'Paul Giamatti', 'Alex Shaffer', 'Amy Ryan', 'Bobby Cannavale']",0,11869791
October Baby,"['Andrew Erwin', 'Jon Erwin', 'Jason Burkey', 'John Schneider', 'Jasmine Guy']",1000000,5357328
Dream House,"['Jim Sheridan', 'Daniel Craig', 'Rachel Weisz', 'Naomi Watts', 'Marton Csokas']",50,38502340
Monsieur Lazhar,"['Philippe Falardeau', 'Mohamed Fellag', 'Sophie Nlisse', 'Danielle Proulx']",0,6581915
Dolphin Tale,"['Charles Martin Smith', 'Harry Connick, Jr', 'Ashley Judd', 'Nathan Gamble', 'Kris Kristofferson', 'Cozi Zuehlsdorff', 'Morgan Freeman']",37,95.4
The Hangover Part II,"['Todd Phillips', 'Scot Armstrong', 'Craig Mazin', 'Bradley Cooper', 'Ed Helms', 'Zach Galifianakis', 'Ken Jeong', 'Jeffrey Tambor', 'Justin Bartha', 'Paul Giamatti']",80,586.8
