Movie_Name,Contributors,Budget,Revenue
Everyone's Hero,"['Christopher Reeve', 'Daniel St. Pierre', 'Colin Brady', 'Jake T. Austin', 'William H. Macy', 'Rob Reiner', 'Brian Dennehy', 'Raven-Symon', 'Robert Wagner', 'Richard Kind', 'Dana Reeve', 'Joe Torre', 'Mandy Patinkin', 'Forest Whitaker', 'Whoopi Goldberg']",0,16627188 (Worldwide)
Beerfest,[],0,0
Flushed Away,"['David Bowers', 'Sam Fell', 'Dick Clement', 'Ian La Frenais', 'Simon Nye', 'Hugh Jackman', 'Kate Winslet', 'Ian McKellen']",149,178120010
One Night with the King,"['Tiffany Dupont', 'John Rhys-Davies', 'Luke Goss']",20000000,20688299 in DVD sales
"You, Me and Dupree","['Anthony Russo', 'Joe Russo', 'Owen Wilson', 'Kate Hudson', 'Matt Dillon', 'Michael Douglas', 'Seth Rogen', 'Amanda Detmer']",54,130431368
Friends with Money,"['Nicole Holofcener', 'Jennifer Aniston', 'Joan Cusack', 'Catherine Keener', 'Frances McDormand', 'Jason Isaacs', 'Scott Caan', 'Simon McBurney', 'Greg Germann']",6.5,18245244
An American Haunting,"['Courtney Solomon', 'Donald Sutherland', 'Sissy Spacek', ""James D'Arcy"", 'Rachel Hurd-Wood']",14,29612137
The Santa Clause 3: The Escape Clause,"['Michael Lembeck', 'Ed Decter', 'John J. Strauss', 'Tim Allen', 'Martin Short', 'Elizabeth Mitchell', 'Judge Reinhold', 'Wendy Crewson', 'Ann-Margret', 'Eric Lloyd', 'Spencer Breslin', 'Liliana Mumy', 'Alan Arkin']",12,110.8
RV,"['Barry Sonnenfeld', 'Geoff Rodkey', 'Robin Williams', 'Jeff Daniels', 'Cheryl Hines', 'Kristin Chenoweth', 'Joanna ""JoJo"" Levesque', 'Josh Hutcherson']",50,87.5
Barnyard,"['Steve Oedekerk', 'Kevin James', 'Courteney Cox', 'Sam Elliott', 'Danny Glover', 'Wanda Sykes', 'Andie MacDowell', 'David Koechner']",51,116.5
The Da Vinci Code,"['Ron Howard', 'Tom Hanks', 'Audrey Tautou', 'Ian McKellen', 'Alfred Molina', 'Jrgen Prochnow', 'Paul Bettany', 'Jean Reno', 'Jean-Pierre Marielle']",125,758239851
Final Destination 3,"['James Wong', 'Glen Morgan', 'Mary Elizabeth Winstead', 'Ryan Merriman']",25,117719158
Flyboys,"['Tony Bill', 'David S. Ward', 'James Franco', 'Martin Henderson', 'Jean Reno', 'Jennifer Decker', 'Abdul Salis', 'Philip Winchester', 'Tyler Labine', 'David Ellison']",60,17834865
Rocky Balboa,"['Sylvester Stallone', 'Burt Young', 'Antonio Tarver', 'Milo Ventimiglia', 'Geraldine Hughes', 'Tony Burton']",24,156229050
Crank,"['Neveldine/Taylor', 'Jason Statham', 'Amy Smart', 'Jose Pablo Cantillo', 'Dwight Yoakam', 'Carlos Sanz', 'Efren Ramirez', 'Keone Young']",12,42931041
Stick It,"['Jessica Bendinger', 'Jessica Bendinger', 'Jeff Bridges', 'Missy Peregrym']",20,31976848
Volver,"['Pedro Almodvar', 'Penlope Cruz', 'Carmen Maura', 'Lola Dueas', 'Blanca Portillo', 'Yohana Cobo', 'Chus Lampreave']",Budget9.4,84021052
Notes on a Scandal,"['Richard Eyre', 'Judi Dench', 'Cate Blanchett', 'Bill Nighy']",Budget15,49752391
The Wicker Man,"['Neil LaBute', 'Ellen Burstyn', 'Kate Beahan', 'Frances Conroy', 'Leelee Sobieski', 'Molly Parker', 'Diane Delano']",40,38755073
Dreamgirls,"['Bill Condon', 'Jamie Foxx', 'Beyonc Knowles', 'Eddie Murphy', 'Danny Glover', 'Anika Noni Rose', 'Keith Robinson', 'Jennifer Hudson']",80,154852975
Unidentified,"['Rich Christiano', 'Jonathan Aube', 'Josh Adamson', 'Michael Blain-Rozgay', 'Jenna Bailey']",0,0
The Return,"['Asif Kapadia', 'Sarah Michelle Gellar', ""Peter O'Brien"", 'Adam Scott', 'Kate Beahan', 'Sam Shepard']",15 Million,11992014
How to Eat Fried Worms,"['Bob Dolman', 'Luke Benward', 'Hallie Eisenberg', 'Adam Hicks', 'Alexander Gould', 'Philip Daniel Bolden', 'Ty Panitz', 'Tom Cavanagh', 'Kimberly Williams-Paisley']",Budget13,13040527
The Last Kiss,"['Tony Goldwyn', 'Paul Haggis', 'Zach Braff', 'Source material:', 'Gabriele Muccino', 'Zach Braff', 'Jacinda Barrett', 'Casey Affleck', 'Rachel Bilson', 'Blythe Danner', 'Tom Wilkinson']",20,15852401 (worldwide)
Underworld: Evolution,"['Len Wiseman', 'Kate Beckinsale', 'Scott Speedman', 'Tony Curran', 'Shane Brolly', 'Steven Mackintosh', 'Derek Jacobi', 'Bill Nighy']",45,111.3
Thank You for Smoking,"['Jason Reitman', 'Aaron Eckhart', 'Maria Bello', 'Cameron Bright', 'Adam Brody', 'Sam Elliott', 'Katie Holmes', 'David Koechner', 'Rob Lowe', 'William H. Macy', 'J. K. Simmons', 'Robert Duvall']",10,39323027
Black Christmas,[],0,0
My Super Ex-Girlfriend,"['Ivan Reitman', 'Don Payne', 'Luke Wilson', 'Uma Thurman', 'Anna Faris', 'Eddie Izzard', 'Rainn Wilson', 'Wanda Sykes']",30000000,60984606
Material Girls,"['Martha Coolidge', 'Hilary Duff', 'Haylie Duff', 'Anjelica Huston', 'Lukas Haas']",15,16907725
Talladega Nights: The Ballad of Ricky Bobby,"['Adam McKay', 'Will Ferrell', 'Will Ferrell', 'John C. Reilly', 'Sacha Baron Cohen', 'Gary Cole', 'Michael Clarke Duncan', 'Leslie Bibb', 'Jane Lynch', 'Amy Adams']",72.5,162966177
Let's Go to Prison,"['Bob Odenkirk', 'Ben Garant', 'Thomas Lennon', 'Michael Patrick Jann', 'Dax Shepard', 'Will Arnett', 'Chi McBride', 'David Koechner']",4000000,4630045
The Texas Chainsaw Massacre: The Beginning,[],0,0
Big Momma's House 2,"['John Whitesell', 'Don Rhymer', 'Martin Lawrence']",40,138259062
