Movie_Name,Contributors,Budget,Revenue
W.,"['Oliver Stone', 'Stanley Weiser', 'Josh Brolin', 'Elizabeth Banks', 'James Cromwell', 'Ellen Burstyn', 'Richard Dreyfuss', 'Toby Jones', 'Thandie Newton', 'Jeffrey Wright', 'Scott Glenn', 'Bruce McGill', 'Jennifer Sipes', 'Noah Wyle', 'Ioan Gruffudd']",25.1,29506464
Nights in Rodanthe,"['George C. Wolfe', 'Novel', 'Nicholas Sparks', 'Richard Gere', 'Diane Lane']",0,84375061 
Punisher: War Zone,"['Lexi Alexander', 'Nick Santora', 'Ray Stevenson', 'Dominic West', 'Julie Benz', 'Colin Salmon', 'Doug Hutchison', 'Dash Mihok', 'Wayne Knight']",35,10100036
Penelope,"['Mark Palansky', 'Leslie Caveny', 'Christina Ricci', 'James McAvoy', ""Catherine O'Hara"", 'Peter Dinklage', 'Richard E. Grant', 'Reese Witherspoon']",15,21156270
Boy A,"['John Crowley', ""Mark O'Rowe"", 'Jonathan Trigell', 'Andrew Garfield', 'Katie Lyons', 'Peter Mullan']",0,"Box office765,577[2]"
Milk,"['Gus Van Sant', 'Dustin Lance Black', 'Sean Penn', 'Emile Hirsch', 'Josh Brolin', 'Diego Luna', 'James Franco']",20,54586584
Death Race,[],0,0
Slumdog Millionaire,"['Danny Boyle', 'Dev Patel', 'Freida Pinto', 'Madhur Mittal', 'Anil Kapoor', 'Irrfan Khan']",15,377.9
The Mummy: Tomb of the Dragon Emperor,"['Rob Cohen', 'Alfred Gough', 'Miles Millar', 'Brendan Fraser', 'Jet Li', 'Maria Bello', 'John Hannah', 'Russell Wong', 'Liam Cunningham', 'Luke Ford', 'Isabella Leong', 'Michelle Yeoh']",145,401128639
Mad Money,"['Callie Khouri', 'Diane Keaton', 'Queen Latifah', 'Katie Holmes', 'Ted Danson']",22,26412163
Doomsday,"['Neil Marshall', 'Rhona Mitra', 'Bob Hoskins', 'Adrian Lester', 'Alexander Siddig', ""David O'Hara"", 'Malcolm McDowell']",Budget17,22211426 (worldwide)1034659
The Bank Job,[],0,0
Cloverfield,"['Matt Reeves', 'Drew Goddard', 'Lizzy Caplan', 'Jessica Lucas', 'T. J. Miller', 'Michael Stahl-David', 'Mike Vogel', 'Odette Yustman']",25,170764026
WALL-E,"['Andrew Stanton', 'Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard', 'John Ratzenberger', 'Kathy Najimy', 'Sigourney Weaver', 'MacInTalk']",180,521311860
Transporter 3,"['Olivier Megaton', 'Luc Besson', 'Robert Mark Kamen', 'Jason Statham', 'Franois Berland', 'Robert Knepper']",30,108979549
The Secret Life of Bees,"['Gina Prince-Bythewood', 'Queen Latifah', 'Dakota Fanning', 'Jennifer Hudson', 'Alicia Keys', 'Sophie Okonedo', 'Paul Bettany']",11,39947322
The X-Files: I Want to Believe,"['Chris Carter', 'David Duchovny', 'Gillian Anderson', 'Amanda Peet', 'Billy Connolly', 'Alvin ""Xzibit"" Joiner']",30,68369434
The Visitor,"['Thomas McCarthy', 'Richard Jenkins', 'Haaz Sleiman', 'Danai Gurira', 'Hiam Abbass']",4,18078175
Vantage Point,"['Pete Travis', 'Barry L. Levy', 'Dennis Quaid', 'Matthew Fox', 'Forest Whitaker', 'dgar Ramrez', 'Ayelet Zurer', 'Sigourney Weaver', 'William Hurt']",40000000,151161491
Journey to the Center of the Earth,"['Eric Brevig', 'Brendan Fraser', 'Josh Hutcherson', 'Anita Briem']",60,241995151
Nothing Like the Holidays,"['Alfredo De Villa', 'Luis Guzmn', 'John Leguizamo', 'Debra Messing', 'Alfred Molina', 'Freddy Rodriguez', 'Melonie Diaz', 'Vanessa Ferlito', 'Jay Hernandez', 'Elizabeth Pea']",0,7519490
Bedtime Stories,"['Adam Shankman', 'Tim Herlihy', 'Keri Russell', 'Jonathan Morgan Heit', 'Laura Ann Kesling', 'Guy Pearce', 'Russell Brand', 'Richard Griffiths', 'Teresa Palmer', 'Lucy Lawless', 'Courteney Cox']",80,213
Forgetting Sarah Marshall,"['Nicholas Stoller', 'Jason Segel', 'Kristen Bell', 'Mila Kunis', 'Russell Brand']",30,105173115
Meet the Spartans,[],0,0
Ghost Town,"['David Koepp', 'Ricky Gervais', 'Ta Leoni', 'Greg Kinnear', 'Billy Campbell', 'Kristen Wiig', 'Dana Ivey']",0,0
Brideshead Revisited,"['Julian Jarrold', 'Jeremy Brock', 'Andrew Davies', 'Evelyn Waugh', 'Emma Thompson', 'Matthew Goode', 'Ben Whishaw', 'Hayley Atwell', 'Michael Gambon']",0,13204291
Harold & Kumar Escape from Guantanamo Bay,"['Jon Hurwitz', 'Hayden Schlossberg', 'John Cho', 'Kal Penn', 'Danneel Harris', 'Rob Corddry', 'Neil Patrick Harris']",12,43493123
An American Carol,"['David Zucker', 'Kevin Farley', 'Kelsey Grammer', 'Jon Voight', 'Dennis Hopper', 'Leslie Nielsen', 'Jillian Murray', 'Sammy Sheik']",20,7013191
Twilight,"['Catherine Hardwicke', 'Kristen Stewart', 'Robert Pattinson', 'Billy Burke', 'Peter Facinelli']",37,392616625
The Eye,"['Jessica Alba', 'Parker Posey', 'Alessandro Nivola']",12,56964642
Nim's Island,"['Jennifer Flackett', 'Mark Levin', 'Abigail Breslin', 'Jodie Foster', 'Gerard Butler']",37000000,100076342
Prom Night,"['Nelson McCormick', 'J.S. Cardone', 'Brittany Snow', 'Scott Porter', 'Jessica Stroup', 'Dana Davis', 'Collins Pennie', 'Kelly Blatz', 'James Ransone', 'Brianne Davis', 'Kellan Lutz', 'Mary Mara', 'Ming-Na Wen', 'Johnathon Schaech', 'Idris Elba']",20,57197876
Saw V,"['David Hackl', 'Patrick Melton', 'Marcus Dunstan', 'Tobin Bell', 'Costas Mandylor', 'Scott Patterson', 'Betsy Russell', 'Mark Rolston', 'Julie Benz', 'Carlo Rota', 'Meagan Good']",10.8,113864059
Witless Protection,"['Charles Robert Carner', 'Larry the Cable Guy', 'Ivana Milievi', 'Joe Mantegna', 'Jenny McCarthy', 'Lisa Lampanelli']",7500000,4161625 (US and Canada)
88 Minutes,"['Jon Avnet', 'Gary Scott Thompson', 'Al Pacino', 'Alicia Witt', 'Leelee Sobieski', 'William Forsythe', 'Deborah Kara Unger', 'Amy Brenneman', 'Neal McDonough', 'Benjamin McKenzie']",30,32593385
The Express,"['Gary Fleder', 'Charles Leavitt', 'Rob Brown', 'Charles S. Dutton', 'Dennis Quaid']",40,9808124
Meet the Browns,"['Tyler Perry', 'Tyler Perry', 'Angela Bassett', 'Rick Fox', 'Lance Gross', 'David Mann', 'Tamela Mann', 'Lamman Rucker', 'Jenifer Lewis', 'Sofa Vergara', 'Frankie Faison', 'Margaret Avery']",20,41975388
"10,000 BC","['Roland Emmerich', 'Harald Kloser', 'Steven Strait', 'Camilla Belle', 'Cliff Curtis', 'Affif Ben Badra', 'Marco Khan', 'Tim Barlow']",105,269784201
Mamma Mia!,"['Phyllida Lloyd', 'Meryl Streep', 'Pierce Brosnan', 'Colin Firth', 'Stellan Skarsgrd', 'Julie Walters', 'Dominic Cooper', 'Amanda Seyfried', 'Christine Baranski']",52,609841637
The Stone Angel,"['Kari Skogland', 'Margaret Laurence', 'Ellen Burstyn', 'Christine Horne', 'Cole Hauser', 'Dylan Baker', 'Kevin Zegers', 'Ellen Page']",0,473993
Australia,"['Baz Luhrmann', 'Nicole Kidman', 'Hugh Jackman', 'David Wenham']",130,211342221(worldwide)
Son of Rambow,[],0,0
Nobel Son,"['Randall Miller', 'Alan Rickman', 'Bryan Greenberg', 'Shawn Hatosy', 'Mary Steenburgen', 'Bill Pullman', 'Eliza Dushku', 'Danny DeVito']",0,545582
Seven Pounds,"['Gabriele Muccino', 'Grant Nieporte', 'Will Smith', 'Rosario Dawson', 'Michael Ealy', 'Barry Pepper', 'Octavia Spencer', 'Woody Harrelson']",54,168168201
The Spirit,"['Frank Miller', 'Gabriel Macht', 'Eva Mendes', 'Sarah Paulson', 'Dan Lauria', 'Paz Vega', 'Scarlett Johansson', 'Samuel L. Jackson']",60,39031337
Rambo,"['Sylvester Stallone', 'Julie Benz', 'Paul Schulze']",50,113244290
The Haunting of Molly Hartley,"['Haley Bennett', 'Chace Crawford', 'AnnaLynne McCord', 'Jake Weber']",5,15418749
Igor,"['Tony Leondis', 'Chris McKenna', 'John Hoffman', 'John Cusack', 'Molly Shannon', 'Steve Buscemi', 'Sean Hayes', 'Jennifer Coolidge', 'Eddie Izzard', 'Jay Leno', 'Arsenio Hall', 'Christian Slater', 'John Cleese']",25,30599801
Charlie Bartlett,"['Jon Poll', 'Gustin Nash', 'Anton Yelchin', 'Kat Dennings', 'Robert Downey Jr.', 'Tyler Hilton', 'Hope Davis']",12,5254986
Changeling,"['Clint Eastwood', 'J. Michael Straczynski', 'Angelina Jolie', 'John Malkovich', 'Jeffrey Donovan', 'Jason Butler Harner', 'Colm Feore']",55,113020256
Vicky Cristina Barcelona,"['Woody Allen', 'Javier Bardem', 'Penlope Cruz', 'Scarlett Johansson', 'Rebecca Hall', 'Patricia Clarkson', 'Kevin Dunn', 'Chris Messina']",15,96408652
The Fall,"['Benjamin Ciaramello', 'Scott Kinworthy', 'Erica Shaffer']",500000 (estimated),0
Redbelt,"['David Mamet', 'Chiwetel Ejiofor', 'Tim Allen', 'Emily Mortimer', 'Alice Braga', 'Rodrigo Santoro', 'Joe Mantegna', 'Rebecca Pidgeon', 'Ricky Jay', 'Randy Couture']",7,2674090
The Duchess,"['Saul Dibb', 'Keira Knightley', 'Ralph Fiennes', 'Hayley Atwell', 'Charlotte Rampling', 'Dominic Cooper']","Budget13,5",43306325
Strange Wilderness,"['Fred Wolf', 'Steve Zahn', 'Allen Covert', 'Jonah Hill', 'Robert Patrick', 'Justin Long', 'Jeff Garlin', 'Ernest Borgnine']",3,6964734
The Love Guru,"['Mike Myers', 'Mike Myers', 'Jessica Alba', 'Justin Timberlake', 'Romany Malco', 'Meagan Good', 'Verne Troyer', 'John Oliver', 'Omid Djalili', 'Ben Kingsley', 'Daniel Tosh']",62,40863344
Body of Lies,"['Ridley Scott', 'Leonardo DiCaprio', 'Russell Crowe', 'Mark Strong', 'Golshifteh Farahani', 'Vince Colosimo', 'Oscar Isaac', 'Ali Suliman', 'Alon Aboutboul']",70,115097286
27 Dresses,"['Anne Fletcher', 'Aline Brosh McKenna', 'Katherine Heigl', 'James Marsden', 'Malin kerman', 'Edward Burns', 'Judy Greer', 'Maulik Pancholy']",30,160259319
The Reader,"['Stephen Daldry', 'Kate Winslet', 'Ralph Fiennes', 'David Kross', 'Lena Olin', 'Bruno Ganz']",32,108901967
Last Chance Harvey,"['Joel Hopkins', 'Dustin Hoffman', 'Emma Thompson', 'Kathy Baker', 'James Brolin']",0,32561321
Fool's Gold,"['Andy Tennant', 'Daniel Zelman', 'Matthew McConaughey', 'Kate Hudson', 'Alexis Dziena', 'Ewen Bremner', 'Ray Winstone', 'Donald Sutherland']",70,111231041
Delgo,"['Freddie Prinze, Jr.', 'Jennifer Love Hewitt', 'Anne Bancroft', 'Chris Kattan', 'Louis Gossett Jr.', 'Val Kilmer', 'Malcolm McDowell']",40,915840
Marley & Me,"['David Frankel', 'Owen Wilson', 'Jennifer Aniston', 'Eric Dane', 'Alan Arkin']",60,70573821(US DVD sales)
Fly Me to the Moon,[],0,0
Garden Party,[],0,0
Leatherheads,"['George Clooney', 'Rick Reilly', 'George Clooney', 'John Krasinski', 'Rene Zellweger', 'Jonathan Pryce', 'Stephen Root', 'Wayne Duvall', 'Keith Loneker', 'Robert Baker']",58,41299492
Flash of Genius,"['Marc Abraham', 'Greg Kinnear', 'Lauren Graham', 'Dermot Mulroney', 'Alan Alda']",0,4626050 (Worldwide)
Baby Mama,"['Michael McCullers', 'Tina Fey', 'Amy Poehler', 'Sigourney Weaver', 'Greg Kinnear', 'Romany Malco', 'Maura Tierney', 'Dax Shepard', 'Steve Martin']",30,64163648
Cadillac Records,"['Darnell Martin', 'Darnell Martin', 'Adrien Brody', 'Beyonc Knowles', 'Jeffrey Wright']",12,8880045
The Pirates Who Don't Do Anything: A VeggieTales Movie,[],0,0
Drillbit Taylor,"['Steven Brill', 'Owen Wilson', 'Troy Gentile', 'Nate Hartley', 'David Dorfman', 'Alex Frost', 'Josh Peck', 'Leslie Mann']",40,49690625
Jumper,"['Doug Liman', 'Hayden Christensen', 'Jamie Bell', 'Rachel Bilson', 'Michael Rooker', 'AnnaSophia Robb', 'Max Thieriot', 'Diane Lane', 'Samuel L. Jackson']",85,222231186
Street Kings,"['David Ayer', 'Keanu Reeves', 'Forest Whitaker', 'Hugh Laurie', 'Chris Evans', 'Common', 'The Game']",20,65.6
Burn After Reading,"['Joel Coen\nEthan Coen', 'George Clooney', 'Frances McDormand', 'John Malkovich', 'Tilda Swinton', 'Richard Jenkins', 'Brad Pitt']",37,161128228
Pride and Glory,"[""Gavin O'Connor"", 'Edward Norton', 'Colin Farrell', 'Jon Voight', 'Noah Emmerich']",30,43440721
Madagascar: Escape 2 Africa,"['Eric Darnell', 'Tom McGrath', 'Etan Cohen', 'Tom McGrath', 'Eric Darnell', 'Ben Stiller', 'Chris Rock', 'David Schwimmer', 'Jada Pinkett Smith']",150,602308178
Beer For My Horses,[],0,0
Disaster Movie,"['Jason Friedberg\nAaron Seltzer', 'Matt Lanter', 'Vanessa Minnillo', 'Crista Flanagan', 'Nicole Parker', 'Kim Kardashian', 'Ike Barinholtz', 'Carmen Electra', 'Tony Cox']",20,34816824
The Dark Knight,"['Christopher Nolan', 'Christian Bale', 'Michael Caine', 'Heath Ledger', 'Gary Oldman', 'Aaron Eckhart', 'Maggie Gyllenhaal', 'Morgan Freeman']",185,1.005 billion
Proud American,"['Fred Ashman', 'Hayley Chase']",0,131357
