Movie_Name,Contributors,Budget,Revenue
The Siege,"['Edward Zwick', 'Denzel Washington', 'Bruce Willis', 'Annette Bening', 'Tony Shalhoub', 'David Proval']",70,116672912
A Bug's Life,"['John Lasseter', 'Dave Foley', 'Kevin Spacey', 'Julia Louis-Dreyfus', 'Hayden Panettiere', 'David Hyde Pierce', 'Denis Leary', 'Jonathan Harris', 'Madeline Kahn', 'Bonnie Hunt', 'Brad Garrett', 'Mike McShane']",120,363398565
Sliding Doors,"['Peter Howitt', 'Gwyneth Paltrow', 'John Hannah']",6,58
The Faculty,"['Robert Rodriguez', 'Josh Hartnett', 'Shawn Hatosy', 'Clea DuVall', 'Elijah Wood', 'Jordana Brewster', 'Laura Harris']",15,40283321
Lost in Space,"['Stephen Hopkins', 'Gary Oldman', 'William Hurt', 'Matt LeBlanc', 'Mimi Rogers', 'Heather Graham', 'Lacey Chabert', 'Jack Johnson', 'Jared Harris']",80,136159423
Senseless,"['Penelope Spheeris', 'Craig Mazin', 'Marlon Wayans', 'David Spade', 'Matthew Lillard', 'Brad Dourif', 'Tamara Taylor', 'Rip Torn']",15,12874899
Air Bud: Golden Receiver,[],0,0
Holy Man,"['Stephen Herek', 'Tom Schulman', 'Eddie Murphy', 'Jeff Goldblum', 'Kelly Preston', 'Eric McCormack', 'Robert Loggia']",60,12069719 (North America)
Beloved,"['Jonathan Demme', 'Oprah Winfrey', 'Danny Glover', 'Thandie Newton', 'Kimberly Elise']",80,22852487
Mighty Joe Young,"['Ron Underwood', 'Merian C. Cooper', 'Ruth Rose', 'Mark Rosenthal', 'Lawrence Konner', 'Bill Paxton', 'Charlize Theron', 'Rade Serbedzija', 'Peter Firth', 'Regina King', 'David Paymer']",90,50632037 (UnitedStates)
The Replacement Killers,"['Antoine Fuqua', 'Chow Yun-fat', 'Mira Sorvino']",30000000,19204929
Snake Eyes,"['Brian De Palma', '[1]', 'Nicolas Cage', 'Gary Sinise', 'Carla Gugino', 'John Heard', 'Joel Fabiani', 'Luis Guzmn']",73 s,103891409 (worldwide)
Patch Adams,"['Tom Shadyac', 'Robin Williams', 'Monica Potter', 'Philip Seymour Hoffman', 'Bob Gunton', 'Daniel London', 'Peter Coyote']",90,202292902
Practical Magic,[],0,0
He Got Game,"['Spike Lee', 'Denzel Washington', 'Ray Allen', 'Milla Jovovich']",25,21567853
Mulan,"['Tony Bancroft', 'Barry Cook', 'Ming-Na', 'Eddie Murphy', 'BD Wong', 'Miguel Ferrer', 'Harvey Fierstein', 'June Foray', 'George Takei', 'Pat Morita']",90,304.3
Apt Pupil,[],0,0
The Avengers,"['Jeremiah S. Chechik', 'Don Macpherson', 'Ralph Fiennes', 'Uma Thurman', 'Sean Connery', 'Jim Broadbent', 'Fiona Shaw', 'Eddie Izzard']",60,48585416
The Man in the Iron Mask,[],0,0
Phantoms,"['Joe Chappelle', ""Peter O'Toole"", 'Rose McGowan', 'Joanna Going', 'Liev Schreiber', 'Ben Affleck', 'Nicky Katt', 'Clifton Powell']",0,5624282
Mafia!,"['Jim Abrahams', 'Lloyd Bridges', 'Olympia Dukakis', 'Christina Applegate']",10,30143795
City of Angels,"['Brad Silberling', 'Nicolas Cage', 'Meg Ryan', 'Andre Braugher', 'Dennis Franz']",55,198685114
Urban Legend,[],0,0
The Wedding Singer,"['Frank Coraci', 'Tim Herlihy', 'Adam Sandler', 'Drew Barrymore', 'Christine Taylor']",18,123306987
One True Thing,"['Carl Franklin', 'Meryl Streep', 'Rene Zellweger', 'William Hurt', 'Tom Everett Scott']",30,26616840
Dark City,"['Alex Proyas', 'Rufus Sewell', 'Kiefer Sutherland', 'Jennifer Connelly', ""Richard O'Brien"", 'Ian Richardson', 'William Hurt']",27  (est),27200316
Return to Paradise,"['Joseph Ruben', 'Vince Vaughn', 'Anne Heche', 'Joaquin Phoenix']",14,8341087
Blade,"['Stephen Norrington', 'David S. Goyer', 'Wesley Snipes', 'Stephen Dorff', 'Kris Kristofferson', ""N'Bushe Wright"", 'Donal Logue']",40,131183530
The X-Files,"['Rob Bowman', 'David Duchovny', 'Gillian Anderson', 'Martin Landau', 'Blythe Danner', 'Armin Mueller-Stahl']",66,189176423
American History X,"['Tony Kaye', 'David McKenna', 'Edward Norton', 'Edward Furlong', 'Fairuza Balk', 'Stacy Keach', 'Elliott Gould', 'Avery Brooks', ""Beverly D'Angelo""]",20,23.9
Gods and Monsters,"['Bill Condon', 'Ian McKellen', 'Brendan Fraser', 'Lynn Redgrave', 'Matt McKenzie', 'Arthur Dignam']",10,6451628
I Got the Hook Up,"['Master P', 'Gretchen Palmer', 'Ice Cube', 'C-Murder', 'John Witherspoon', 'Snoop Dogg', 'Tommy ""Tiny"" Lister, Jr.']",0,0
Fallen,"['Gregory Hoblit', 'Nicholas Kazan', 'Denzel Washington', 'John Goodman', 'Donald Sutherland', 'Embeth Davidtz', 'James Gandolfini', 'Elias Koteas']",30,25232289
Nightwatch,"['Ole Bornedal', 'Steven Soderbergh', 'Ewan McGregor', 'Patricia Arquette', 'Josh Brolin', 'Lauren Graham', 'Nick Nolte']",0,1278516 (US)
54,"['Mark Christopher', 'Ryan Phillippe', 'Salma Hayek', 'Neve Campbell', 'Mike Myers', 'Sela Ward', 'Breckin Meyer']",13,16757163
BASEketball,"['David Zucker', 'Trey Parker', 'Matt Stone', 'Dian Bachar', 'Yasmine Bleeth', 'Jenny McCarthy', 'Robert Vaughn', 'Ernest Borgnine']",23,7027290
Ringmaster,"['Neil Abramson', 'Jon Bernstein', 'Jerry Springer', 'Jaime Pressly', 'William McNamara', 'Molly Hagan', 'John Capodice', 'Wendy Raquel Robinson', 'Ashley Holbrook', 'Tangie Ambrose', 'Nicki Micheaux', 'Krista Tesreau', 'Dawn Maxey', 'Maximilliana', 'Michael Jai White', 'Michael Dudikoff']",20,9257103
Rounders,[],0,0
Black Dog,[],0,0
Krippendorf's Tribe,"['Todd Holland', 'Richard Dreyfuss', 'Jenna Elfman', 'Natasha Lyonne', 'Lily Tomlin']",0,7571115
Spice World,"['Bob Spiers', 'Kim Fuller', 'Jamie Curtis', 'Victoria Beckham', 'Melanie Brown', 'Emma Bunton', 'Melanie Chisholm', 'Geri Halliwell']",25,77
Cousin Bette,"['Des McAnuff', 'Honor de Balzac', 'Jessica Lange', 'Elisabeth Shue', 'Hugh Laurie', 'Bob Hoskins', 'Geraldine Chaplin']",0,1161063
Simon Birch,"['Mark Steven Johnson', 'Ian Michael Smith', 'Joseph Mazzello', 'Ashley Judd', 'Oliver Platt']",30,18253415
Great Expectations,"['Alfonso Cuarn', 'David Mamet', 'Mitch Glazer', '[1]', 'Ethan Hawke', 'Gwyneth Paltrow', 'Chris Cooper', 'Hank Azaria', 'Anne Bancroft', 'Robert De Niro']",25000000 ,55494066
Affliction,"['Paul Schrader', 'Nick Nolte', 'Sissy Spacek', 'James Coburn', 'Willem Dafoe']",6,6330054
Fear and Loathing in Las Vegas,"['Terry Gilliam', 'Johnny Depp', 'Benicio del Toro']",18.5,10680275
Ronin,"['John Frankenheimer', 'Robert De Niro', 'Jean Reno', 'Natascha McElhone', 'Stellan Skarsgrd', 'Sean Bean', 'Jonathan Pryce']",55,70692101
Psycho,"['Gus Van Sant', 'Vince Vaughn', 'Julianne Moore', 'Anne Heche', 'Viggo Mortensen', 'William H. Macy', 'Robert Forster', 'Philip Baker Hall']",60,37141130
Deep Impact,"['Mimi Leder', 'Bruce Joel Rubin', 'Michael Tolkin', 'Robert Duvall', 'Ta Leoni', 'Elijah Wood', 'Vanessa Redgrave', 'Maximilian Schell', 'Leelee Sobieski', 'Morgan Freeman']",80000000,349464664
Home Fries,"['Dean Parisot', 'Vince Gilligan', 'Drew Barrymore', 'Luke Wilson', ""Catherine O'Hara"", 'Shelley Duvall', 'Jake Busey']",15,10513979 (US)
Primary Colors,"['Mike Nichols', '[1]', 'John Travolta', 'Emma Thompson', 'Billy Bob Thornton', 'Kathy Bates', 'Adrian Lester', 'Maura Tierney', 'Larry Hagman']",65,52090187
The Negotiator,"['F. Gary Gray', 'James DeMonaco', 'Samuel L. Jackson', 'Kevin Spacey', 'David Morse', 'Ron Rifkin', 'John Spencer', 'J.T. Walsh']",50,44547681
Kissing a Fool,"['Doug Ellin', 'James Frey', 'David Schwimmer', 'Jason Lee', 'Mili Avital', 'Bonnie Hunt', 'Kari Whrer', 'Vanessa Angel']",19,4106588
Rush Hour,"['Brett Ratner', 'Jackie Chan', 'Chris Tucker', 'Tom Wilkinson', 'Chris Penn', 'Elizabeth Pea']",33,244386864
Wag the Dog,"['Barry Levinson', 'Dustin Hoffman']",15,64256513
The Truman Show,"['Peter Weir', 'Andrew Niccol', 'Jim Carrey', 'Laura Linney', 'Noah Emmerich', 'Natascha McElhone', 'Holland Taylor', 'Ed Harris']",60,264118201
Meet Joe Black,"['Martin Brest', 'Bo Goldman', 'Kevin Wade', 'Ron Osborn', 'Jeff Reno', 'Brad Pitt', 'Anthony Hopkins', 'Claire Forlani', 'Jake Weber', 'Marcia Gay Harden', 'Jeffrey Tambor']",90,142940100
Wrongfully Accused,"['Pat Proft', 'Leslie Nielsen', 'Richard Crenna', 'Kelly Le Brock', 'Melinda McGraw', 'Michael York']",0,9623329
Major League: Back to the Minors,"['John Warren', 'David S. Ward', 'John Warren', 'Scott Bakula', 'Corbin Bernsen', 'Ted McGinley', 'Dennis Haysbert', 'Bob Uecker']",46,3572443
Dead Man on Campus,"['Mark-Paul Gosselaar', 'Tom Everett Scott']",14,15064946
Paulie,[],0,0
The Object of My Affection,"['Nicholas Hytner', 'Jennifer Aniston', 'Paul Rudd']",15,46905889
Elizabeth,"['Shekhar Kapur', 'Michael Hirst', 'Cate Blanchett', 'Geoffrey Rush', 'Christopher Eccleston', 'Joseph Fiennes', 'John Gielgud', 'Richard Attenborough', 'Kenny Doughty']",30,82150642
Godzilla,"['Roland Emmerich', 'Matthew Broderick', 'Jean Reno', 'Maria Pitillo', 'Hank Azaria', 'Kevin Dunn', 'Michael Lerner', 'Harry Shearer']",130,379014294
Another Day in Paradise,"['Larry Clark', 'Christopher B. Landon', 'James Woods', 'Melanie Griffith', 'Vincent Kartheiser', 'Natasha Gregson Wagner']",2,1036818
Les Misrables,"['Bille August', 'Liam Neeson', 'Geoffrey Rush', 'Uma Thurman', 'Claire Danes']",0,14096322
Bride of Chucky,"['Ronny Yu', 'Jennifer Tilly', 'Brad Dourif', 'Katherine Heigl', 'Nick Stabile', 'John Ritter']",25000000,50692188
Stepmom,"['Chris Columbus', 'Julia Roberts', 'Susan Sarandon', 'Ed Harris', 'Jena Malone', 'Liam Aiken', 'Lynn Whitfield', 'Darrell Larson', 'Mary Louise Wilson']",50,159710793
Mercury Rising,"['Harold Becker', 'Ryne Douglas Pearson', 'Lawrence Konner', 'Mark Rosenthal', 'Bruce Willis', 'Alec Baldwin', 'Miko Hughes', 'Chi McBride', 'Kim Dickens']",60,93107289
Twilight,"['Robert Benton', 'Richard Russo', 'Paul Newman', 'Susan Sarandon', 'Gene Hackman', 'Reese Witherspoon', 'Stockard Channing', 'James Garner']",37,15055091
Saving Private Ryan,"['Steven Spielberg', 'Robert Rodat', 'Tom Hanks', 'Edward Burns', 'Matt Damon', 'Tom Sizemore']",70,481840909
