Movie_Name,Contributors,Budget,Revenue
Charlie's Angels: Full Throttle,"['McG', 'Cameron Diaz', 'Drew Barrymore', 'Lucy Liu', 'Bernie Mac', 'Crispin Glover', 'Justin Theroux', 'Robert Patrick', 'Demi Moore']",120,259175788
Cradle 2 the Grave,"['Andrzej Bartkowiak', 'Channing Gibson', 'Jet Li', 'DMX', 'Anthony Anderson', 'Kelly Hu', 'Tom Arnold', 'Mark Dacascos', 'Gabrielle Union']",25,56489558
The Order,"['Brian Helgeland', 'Heath Ledger', 'Shannyn Sossamon', 'Benno Frmann', 'Mark Addy', 'Peter Weller']",0,11560806
Bulletproof Monk,"['Paul Hunter', 'Chow Yun-fat', 'Seann William Scott', 'Jaime King']",52,37713879
Under the Tuscan Sun,"['Audrey Wells', 'Diane Lane', 'Sandra Oh', 'Lindsay Duncan']",18,58878723
Down with Love,[],0,0
Final Destination 2,"['David R. Ellis', 'Ali Larter', 'A. J. Cook', 'Michael Landes']",26,90426405
Hulk,"['Ang Lee', 'Eric Bana', 'Jennifer Connelly', 'Sam Elliott', 'Josh Lucas', 'Nick Nolte']",137,245360480
Head of State,[],0,0
Dark Blue,"['Ron Shelton', 'David Ayer', 'James Ellroy', 'Kurt Russell', 'Scott Speedman', 'Michael Michele', 'Brendan Gleeson', 'Ving Rhames', 'Master P', 'Dash Mihok', 'Kurupt', 'Khandi Alexander', 'Kaila Yu']",15,12150301
Love Actually,"['Richard Curtis', 'Hugh Grant', 'Liam Neeson', 'Colin Firth', 'Laura Linney', 'Emma Thompson', 'Alan Rickman', 'Keira Knightley', 'Martine McCutcheon', 'Bill Nighy', 'Rowan Atkinson']",45 (USD)30,246942017
Paycheck,"['John Woo', 'Ben Affleck', 'Aaron Eckhart', 'Uma Thurman']",60,96269812
"Legally Blonde 2: Red, White & Blonde","['Charles Herman-Wurmfeld', 'Reese Witherspoon', 'Sally Field', 'Regina King', 'Jennifer Coolidge', 'Bruce McGill', 'Dana Ivey', 'Mary Lynn Rajskub', 'Bob Newhart', 'Luke Wilson']",45,124914842
Cold Mountain,"['Anthony Minghella', 'Jude Law', 'Nicole Kidman', 'Rene Zellweger']",79,173013509
Bad Boys II,"['Michael Bay', 'Martin Lawrence', 'Will Smith', 'Jordi Moll', 'Gabrielle Union', 'Peter Stormare', 'Theresa Randle', 'Joe Pantoliano']",130,273339556
