Movie_Name,Contributors,Budget,Revenue
The Substitute,"['Robert Mandel', 'Roy Frumkes', 'Tom Berenger', 'Ernie Hudson', 'Diane Venora', 'Glenn Plummer', 'Cliff De Young', 'Marc Anthony', 'Richard Brooks', 'Raymond Cruz', 'Luis Guzmn', 'William Forsythe']",0,14818176
Executive Decision,"['Stuart Baird', 'Jim Thomas', 'John Thomas', 'Kurt Russell', 'Halle Berry', 'John Leguizamo', 'Oliver Platt', 'Steven Seagal']",55,122079192
The Crow: City of Angels,"['Tim Pope', 'Vincent Prez', 'Mia Kirshner', 'Richard Brooks', 'Iggy Pop', 'Thuy Trang', 'Thomas Jane', 'Ian Dury']",13000000,17917287 (domestic)
Kingpin,"['Bobby Farrelly\nPeter Farrelly', 'Barry Fanaro', 'Mort Nathan', 'Woody Harrelson', 'Randy Quaid', 'Vanessa Angel', 'Bill Murray']",27,25023434
Set It Off,"['F. Gary Gray', 'Jada Pinkett', 'Queen Latifah', 'Vivica A. Fox', 'Kimberly Elise', 'John C. McGinley', 'Blair Underwood']",9000000,41590886
Mrs. Winterbourne,"['Richard Benjamin', 'Shirley MacLaine', 'Ricki Lake', 'Brendan Fraser']",25,10082005
Dragonheart,"['Rob Cohen', 'Dennis Quaid', 'Sean Connery', 'David Thewlis', 'Pete Postlethwaite', 'Dina Meyer', 'Jason Isaacs', 'Brian Thompson', 'Julie Christie']",57,115267375
Sling Blade,"['Billy Bob Thornton', 'Dwight Yoakam', 'J. T. Walsh', 'John Ritter', 'Lucas Black', 'Robert Duvall']",1000000,24444121
Mulholland Falls,"['Lee Tamahori', 'Nick Nolte', 'Melanie Griffith', 'Chazz Palminteri', 'Michael Madsen', 'Chris Penn', 'Jennifer Connelly', 'Treat Williams', 'Andrew McCarthy', 'John Malkovich']",29,11526099
Twister,"['Jan de Bont', 'Anne-Marie Martin', 'Joss Whedon', 'Helen Hunt', 'Bill Paxton', 'Jami Gertz', 'Cary Elwes']",92,494471524
Mars Attacks!,[],0,0
My Fellow Americans,"['Peter Segal', 'Peter Tolan', 'Jack Lemmon', 'James Garner', 'Dan Aykroyd', 'John Heard', 'Wilford Brimley', 'Sela Ward', 'Lauren Bacall']",21.5,22313201
Feeling Minnesota,[],0,0
Diabolique,"['Jeremiah S. Chechik', 'Henri-Georges Clouzot', 'Don Roos', 'Sharon Stone', 'Isabelle Adjani', 'Chazz Palminteri', 'Kathy Bates', 'Spalding Gray', 'Shirley Knight', 'Allen Garfield', 'Adam Hann-Byrd', 'Donal Logue']",45,17100369
The Fan,"['Tony Scott', 'Robert De Niro', 'Wesley Snipes', 'Benicio del Toro', 'John Leguizamo', ""Patti D'Arbanville"", 'Ellen Barkin']",55,18626419
Matilda,"['Danny DeVito', 'Mara Wilson', 'Rhea Perlman', 'Embeth Davidtz', 'Pam Ferris']",36000000,62098222
Jack,"['Francis Ford Coppola', 'James DeMonaco', 'Gary Nadeau', 'Robin Williams', 'Diane Lane', 'Jennifer Lopez', 'Bill Cosby', 'Fran Drescher', 'Brian Kerwin']",45,58586889
The Glimmer Man,"['John Gray', 'Keenen Ivory Wayans', 'Bob Gunton', 'Brian Cox', 'Michelle Johnson']",45,20351264
House Arrest,"['Harry Winer', 'Michael Hitchcock', 'Jamie Lee Curtis', 'Kevin Pollak', 'Jennifer Tilly', 'Christopher McDonald', 'Wallace Shawn', 'Jennifer Love Hewitt', 'Ray Walston']",5,7032782
From Dusk Till Dawn,"['Robert Rodriguez', 'George Clooney', 'Harvey Keitel', 'Juliette Lewis', 'Quentin Tarantino']",19,25836616
Michael,"['Nora Ephron', 'John Travolta', 'Andie MacDowell', 'William Hurt', 'Bob Hoskins', 'Robert Pastorelli', 'Jean Stapleton']",46,119718203
Alaska,"['Fraser Clarke Heston', 'Andy Burg', 'Thora Birch', 'Vincent Kartheiser', 'Dirk Benedict', 'Charlton Heston', 'Gordon Tootoosis']", 24000000, 11829959
A Thin Line Between Love and Hate,[],0,0
Star Trek: First Contact,"['Jonathan Frakes', 'Patrick Stewart', 'Jonathan Frakes', 'Brent Spiner', 'LeVar Burton', 'Michael Dorn', 'Gates McFadden', 'Marina Sirtis', 'Alfre Woodard', 'James Cromwell', 'Alice Krige']",45,146027888
Scream,"['Wes Craven', 'Kevin Williamson', 'David Arquette', 'Neve Campbell', 'Courteney Cox', 'Matthew Lillard', 'Rose McGowan', 'Skeet Ulrich', 'Jamie Kennedy', 'Drew Barrymore']",15,173046663
Barb Wire,"['Pamela Anderson', 'Temuera Morrison', 'Victoria Rowell', 'Jack Noseworthy', 'Xander Berkeley', 'Udo Kier', 'Steve Railsback']",9,3793614
The Adventures of Pinocchio,"['Steve Barron', 'Martin Landau', 'Jonathan Taylor Thomas', 'Rob Schneider', 'Udo Kier', 'Bebe Neuwirth', 'David Doyle', 'Genevive Bujold']",25,15094530
The Island of Dr. Moreau,"['John Frankenheimer', 'Marlon Brando', 'Val Kilmer', 'David Thewlis', 'Fairuza Balk']",40,49627779
Ghosts of Mississippi,"['Rob Reiner', 'Alec Baldwin', 'Whoopi Goldberg', 'James Woods']",36,13323144 (UnitedStates)
The Mirror Has Two Faces,"['Barbra Streisand', 'Jeff Bridges', 'Lauren Bacall', 'George Segal', 'Mimi Rogers', 'Pierce Brosnan', 'Brenda Vaccaro']",42,73052428
Broken Arrow,"['John Woo', 'Graham Yost', 'John Travolta', 'Christian Slater', 'Samantha Mathis', 'Delroy Lindo']",55  (estimated),150270147 (worldwide)
