Movie_Name,Contributors,Budget,Revenue
Hot Shots! Part Deux,"['Jim Abrahams', 'Charlie Sheen', 'Lloyd Bridges', 'Valeria Golino', 'Richard Crenna', 'Brenda Bakke', 'Miguel Ferrer', 'Ryan Stiles', 'Rowan Atkinson', 'Jerry Haleva']",25000000,133752825
Calendar Girl,[],0,0
Life with Mikey,"['James Lapine', 'Michael J. Fox', 'Christina Vidal', 'Nathan Lane', 'Cyndi Lauper', 'David Krumholtz']",2,12440858
The Wedding Banquet,"['Ang Lee', 'Winston Chao', 'May Chin', 'Kuei Ya-lei', 'Sihung Lung', 'Mitchell Lichtenstein']",1,6933459
Hard Target,"['John Woo', 'Chuck Pfarrer', 'Jean-Claude Van Damme', 'Lance Henriksen', 'Yancy Butler', 'Arnold Vosloo', 'Wilford Brimley']",19500000,74189677
The Three Musketeers,"['Stephen Herek', 'Charlie Sheen', 'Kiefer Sutherland', ""Chris O'Donnell"", 'Oliver Platt', 'Tim Curry', 'Rebecca De Mornay']",30,53898845
Jason Goes to Hell: The Final Friday,"['Adam Marcus', 'Kane Hodder', 'John D. LeMay', 'Kari Keegan', 'Allison Smith', 'Steven Culp', 'Steven Williams', 'Billy Green Bush']",3000000 (estimated),15935068 (domestic)
Untamed Heart,"['Tony Bill', 'Marisa Tomei', 'Christian Slater', 'Rosie Perez']",0,18898806 (USA)
Cool Runnings,[],0,0
The Pelican Brief,"['Alan J. Pakula', 'Julia Roberts', 'Denzel Washington', 'Sam Shepard', 'Hume Cronyn', 'Stanley Tucci', 'John Heard', 'John Lithgow', 'Tony Goldwyn', 'James Sikking', 'William Atherton', 'Robert Culp']",45,195268056
Rising Sun,"['Philip Kaufman', 'Michael Crichton', '[1]', 'Sean Connery', 'Wesley Snipes', 'Harvey Keitel', 'Cary-Hiroyuki Tagawa', 'Kevin Anderson', 'Mako', 'Tia Carrere']",35,107.2
Needful Things,[],0,0
Sliver,"['Phillip Noyce', 'Sharon Stone', 'William Baldwin', 'Tom Berenger']",40,116300000
Teenage Mutant Ninja Turtles III,[],0,0
Robin Hood: Men in Tights,[],0,0
RoboCop 3,"['Fred Dekker', 'Robert John Burke', 'Remy Ryan', 'Nancy Allen', 'Rip Torn', 'John Castle', 'Jill Hennessy', 'Mako', 'C. C. H. Pounder']",22,10696210
The Remains of the Day,"['James Ivory', 'Ruth Prawer Jhabvala', 'Harold Pinter', 'Kazuo Ishiguro', 'Anthony Hopkins', 'Emma Thompson', 'James Fox', 'Christopher Reeve', 'Hugh Grant', 'Ben Chaplin']",15,63954968
The Vanishing,"['George Sluizer', 'Jeff Bridges', 'Kiefer Sutherland', 'Nancy Travis', 'Sandra Bullock']",23,14543394
Three of Hearts,"['Yurek Bogayevicz', 'William Baldwin', 'Kelly Lynch', 'Sherilyn Fenn']",0,5495507
The Nightmare Before Christmas,"['Henry Selick', 'Danny Elfman', 'Chris Sarandon', ""Catherine O'Hara"", 'William Hickey', 'Glenn Shadix', 'Ken Page']",18,81.7
Married to It,"['Arthur Hiller', 'Janet Kovalcik', 'Beau Bridges', 'Stockard Channing', 'Robert Sean Leonard', 'Mary Stuart Masterson', 'Cybill Shepherd', 'Ron Silver']",0,2059832
A Bronx Tale,[],0,0
Josh and S.A.M.,"['Billy Weber', 'Jacob Tierney', 'Noah Fleiss', 'Martha Plimpton']",18000000,1640220
Father Hood,"['Darrell Roodt', 'Scott Spencer', 'Patrick Swayze', 'Halle Berry', 'Sabrina Lloyd', 'Brian Bonsall', 'Martha Velz']",0,3418141
The Good Son,"['Joseph Ruben', 'Ian McEwan', 'Macaulay Culkin', 'Elijah Wood']",17,60613008
Wayne's World 2,"['Stephen Surjik', 'Mike Myers', 'Dana Carvey', 'Christopher Walken', 'Tia Carrere', 'Aerosmith']",40,48197805
Surf Ninjas,"['Neal Israel', 'Dan Gordon', 'Ernie Reyes, Jr.', 'Rob Schneider', 'Leslie Nielsen']",0,4916135
Son of the Pink Panther,"['Blake Edwards', 'Roberto Benigni', 'Herbert Lom', 'Claudia Cardinale']",28,2438031
Addams Family Values,"['Barry Sonnenfeld', 'Paul Rudnick', 'Anjelica Huston', 'Ral Juli', 'Christopher Lloyd', 'Joan Cusack', 'Christina Ricci', 'Carol Kane', 'Jimmy Workman', 'Carel Struycken', 'David Krumholtz']",0,48919043
Guilty as Sin,"['Sidney Lumet', 'Larry Cohen', 'Rebecca De Mornay', 'Don Johnson']",29,22886222
Nowhere to Run,"['Robert Harmon', 'Joe Eszterhas', 'Richard Marquand', 'Leslie Bohem', 'Jean-Claude Van Damme', 'Rosanna Arquette', 'Kieran Culkin', 'Ted Levine', 'Joss Ackland']",15000000,52189039
Made in America,"['Richard Benjamin', 'Nadine Schiff', 'Holly Goldberg Sloan', 'Whoopi Goldberg', 'Ted Danson', 'Nia Long', 'Will Smith', 'Jennifer Tilly']",22,104942695
Loaded Weapon 1,"['Gene Quintano', 'Gene Quintano', 'Emilio Estevez', 'Samuel L. Jackson', 'Kathy Ireland', 'Frank McRae', 'Tim Curry', 'William Shatner']",8200000,27979399
The Meteor Man,[],0,0
Mr. Nanny,"['Michael Gottlieb', 'Edward Rugoff', 'Hulk Hogan', 'Sherman Hemsley', 'Austin Pendleton', 'Madeline Zima', ""Raymond O'Connor"", 'Robert Gorman', 'Mother Love', 'David Johansen']",10,4348572
The Crush,"['Alicia Silverstone', 'Cary Elwes', 'Kurtwood Smith']",0,13609396 (UnitedStates)
Warlock: The Armageddon,"['Anthony Hickox', 'Julian Sands', 'Chris Young', 'Paula Marshall']",3000000 (US),3902679 (US)
Judgment Night,"['Stephen Hopkins', 'Lewis Colick', 'Emilio Estevez', 'Cuba Gooding Jr.', 'Denis Leary', 'Stephen Dorff', 'Jeremy Piven']",21,12136938 (USA)
A Far Off Place,[],0,0
The Sandlot,"['David Mickey Evans', 'Robert Gunter', 'Tom Guiry', 'Mike Vitar']",7,33832313
Jack the Bear,"['Marshall Herskovitz', 'Danny DeVito', 'Robert J. Steinmiller Jr.', 'Miko Hughes', 'Gary Sinise']",0,5145823
Cliffhanger,[],0,0
Poetic Justice,"['John Singleton', 'John Singleton', 'Janet Jackson', 'Tupac Shakur', 'Regina King', 'Joe Torry', 'Tyra Ferrell']",14000000,27515786
The Adventures of Huck Finn,"['Stephen Sommers', 'Elijah Wood', 'Courtney B. Vance', 'Jason Robards', 'Robbie Coltrane']",6.5,24103594
Twenty Bucks,"['Leslie Bohem', 'Endre Bohem', 'Linda Hunt', 'Brendan Fraser', 'Gladys Knight', 'Elisabeth Shue', 'Steve Buscemi', 'Christopher Lloyd', 'William H. Macy', 'David Schwimmer', 'Shohreh Aghdashloo', 'Spalding Gray']",0,0
Sniper,"['Luis Llosa', 'Michael Frost Beckner', 'Tom Berenger', 'Billy Zane', 'J. T. Walsh']",0,18994653
The Man Without a Face,"['Mel Gibson', 'Isabelle Holland', 'Nick Stahl']",25,24760338 (US)
Striking Distance,"['Rowdy Herrington', 'Rowdy Herrington', 'Marty Kaplan', 'Bruce Willis', 'Sarah Jessica Parker', 'Dennis Farina', 'Tom Sizemore', 'Robert Pastorelli', 'Timothy Busfield', 'Andre Braugher', 'John Mahoney', 'Tom Atkins']",30,24107867 (USA)
Ruby Cairo,"['Graeme Clifford', 'Robert Dillon', 'Andie MacDowell', 'Liam Neeson', 'Viggo Mortensen', 'Jack Thompson']",0,608866 (USA)
Dave,"['Ivan Reitman', 'Gary Ross', 'Kevin Kline', 'Sigourney Weaver']",0,63270710 (Domestic)
True Romance,"['Tony Scott', 'Quentin Tarantino', 'Christian Slater', 'Patricia Arquette', 'Dennis Hopper', 'Val Kilmer', 'Gary Oldman', 'Brad Pitt', 'Christopher Walken']",13,12281551
Dennis the Menace,"['Nick Castle', 'John Hughes', 'Walter Matthau', 'Mason Gamble', 'Joan Plowright', 'Christopher Lloyd', 'Lea Thompson']",35,117270765
M. Butterfly,"['David Cronenberg', 'Jeremy Irons', 'John Lone']",0,1498795
Lost in Yonkers (film),"['Martha Coolidge', 'Neil Simon', 'Richard Dreyfuss', 'Mercedes Ruehl', 'Irene Worth', 'Mike Damus', 'David Strathairn']",0,9285189
Point of No Return,"['John Badham', 'Robert Getchell', 'Bridget Fonda', 'Gabriel Byrne', 'Dermot Mulroney', 'Anne Bancroft', 'Harvey Keitel']",0,30038362
Sleepless in Seattle,"['Nora Ephron', 'Tom Hanks', 'Meg Ryan']",21000000,227799884
Grumpy Old Men,"['Donald Petrie', 'Mark Steven Johnson', 'Jack Lemmon', 'Walter Matthau', 'Ann-Margret', 'Burgess Meredith', 'Daryl Hannah', 'Kevin Pollak']",35100000,70172621
Look Who's Talking Now,[],0,0
Demolition Man,"['Marco Brambilla', 'Sylvester Stallone', 'Wesley Snipes']",0,159
Happily Ever After,"['John Howley', 'Irene Cara', 'Malcolm McDowell', 'Carol Channing', 'Edward Asner', 'Dom DeLuise', 'Phyllis Diller']",0,3299382
Batman: Mask of the Phantasm,"['Eric Radomski', 'Bruce Timm', 'Kevin Conroy', 'Dana Delany', 'Hart Bochner', 'Stacy Keach', 'Abe Vigoda', 'Mark Hamill', 'Efrem Zimbalist, Jr.']",6,5617391
Malice,[],0,0
What's Eating Gilbert Grape,"['Lasse Hallstrm', 'Peter Hedges', 'Johnny Depp', 'Juliette Lewis', 'Mary Steenburgen', 'Leonardo DiCaprio', 'John C. Reilly', 'Darlene Cates']",11  (est),10032765
Sidekicks,"['Aaron Norris', 'F. Scott Fitzgerald', 'Jonathan Brandis', 'Chuck Norris', 'Mako', 'Joe Piscopo', 'Beau Bridges']",0,17180393 (United States)
Another Stakeout,"['John Badham', 'Richard Dreyfuss', 'Emilio Estevez', ""Rosie O'Donnell"", 'Dennis Farina', 'Marcia Strassman']",30,20208496
The Program,"['David S. Ward', 'David S. Ward', 'Aaron Latham', 'James Caan', 'Halle Berry', 'Omar Epps', 'Craig Sheffer', 'Kristy Swanson']",0,23032565
Hear No Evil,"['Robert Greenwald', 'Danny Rubin', 'Marlee Matlin', 'D. B. Sweeney', 'Martin Sheen', 'John C. McGinley']",0,0
Sommersby,"['Jon Amiel', 'Jean-Claude Carrire', 'Natalie Zemon Davis', 'Nicholas Meyer', 'Anthony Shaffer', 'Nicholas Meyer', 'Sarah Kernochan', 'Richard Gere', 'Jodie Foster', 'Bill Pullman', 'James Earl Jones']",30,140081992
For Love or Money,"['Barry Sonnenfeld', 'Mark Rosenthal', 'Lawrence Konner', 'Michael J. Fox', 'Gabrielle Anwar', 'Anthony Higgins', 'Bob Balaban', 'Michael Tucker']",30,11146270
Flesh and Bone,"['Steve Kloves', 'Dennis Quaid', 'Meg Ryan', 'James Caan', 'Gwyneth Paltrow']",0,9488998 (US)
Free Willy,"['Simon Wincer', 'Keith A. Walker', 'Cored Blechman', 'Jason James Richter', 'Lori Petty', 'Jayne Atkinson', 'August Schellenberg', 'Michael Madsen', 'Keiko (orca)']",20,153698625
Groundhog Day,"['Harold Ramis', 'Bill Murray', 'Andie MacDowell', 'Chris Elliott']",14.6,70.9  (North America)
Children of the Corn II: The Final Sacrifice,"['David Price', 'Terence Knox', 'Ryan Bollman', 'Ned Romero']",900000,6980986 (USA)
My Boyfriend's Back,"['Bob Balaban', 'Dean Lorey', 'Andrew Lowery', 'Traci Lind']",0,3335984
Body of Evidence,"['Uli Edel', 'Madonna', 'Willem Dafoe', 'Joe Mantegna', 'Anne Archer']",30,13275426
Jurassic Park,"['Steven Spielberg', 'Sam Neill', 'Laura Dern', 'Jeff Goldblum', 'Richard Attenborough', 'Bob Peck', 'Martin Ferrero', 'BD Wong', 'Samuel L. Jackson', 'Wayne Knight', 'Joseph Mazzello', 'Ariana Richards']",63,1029153882
Man's Best Friend,"['John Lafia', 'John Lafia', 'Ally Sheedy', 'Lance Henriksen', 'Robert Costanzo', 'Fredric Lehne', 'John Cassini', 'J.D. Daniels']",6000000 (estimated),12974636 (USA)
So I Married an Axe Murderer,"['Thomas Schlamme', 'Mike Myers', 'Neil Mullarkey', 'Nancy Travis', 'Anthony LaPaglia', 'Amanda Plummer', 'Brenda Fricker']",20,11585483
Fearless,"['Peter Weir', 'Rafael Yglesias', 'Jeff Bridges', 'Isabella Rossellini', 'Rosie Perez', 'Tom Hulce', 'John Turturro']",0,6995302
Household Saints,"['Nancy Savoca', 'Nancy Savoca', 'Richard Guay', 'Tracey Ullman', ""Vincent D'Onofrio"", 'Lili Taylor']",0,0
Once Upon a Forest,"['Charles Grosvenor', 'Michael Crawford', 'Benji Gregory', 'Elisabeth Moss', 'Ben Vereen']",13,6582052
A Perfect World,"['Clint Eastwood', 'John Lee Hancock', 'Kevin Costner', 'Clint Eastwood', 'Laura Dern', 'T.J. Lowther']",0,135130999
Rudy,"['David Anspaugh', 'Angelo Pizzo', 'Sean Astin', 'Jon Favreau', 'Ned Beatty', 'Charles S. Dutton', 'Lili Taylor', 'Jason Miller']",12,22750363
Born Yesterday,[],0,0
Into the West,"['Mike Newell', 'Jim Sheridan', 'Gabriel Byrne', 'Ellen Barkin', 'Raidhr Conroy', 'Ciarn Fitzgerald', 'David Kelly']",0,0
Super Mario Bros.,"['Rocky Morton', 'Annabel Jankel', 'Ed Solomon', 'Bob Hoskins', 'John Leguizamo', 'Dennis Hopper', 'Samantha Mathis', 'Fisher Stevens', 'Richard Edson', 'Fiona Shaw', 'Mojo Nixon']",48,20915465
In the Line of Fire,"['Wolfgang Petersen', 'Jeff Maguire', 'Clint Eastwood', 'John Malkovich', 'Rene Russo', 'Dylan McDermott']",40,187343874
Schindler's List,"['Steven Spielberg', 'Liam Neeson', 'Ben Kingsley', 'Ralph Fiennes', 'Caroline Goodall', 'Jonathan Sagall', 'Embeth Davidtz']",22,321.2
The Real McCoy,"['Russell Mulcahy', 'William Davies', 'Kim Basinger', 'Val Kilmer', 'Terence Stamp']",24,6484246
Only the Strong,[],0,0
Fatal Instinct,"['Carl Reiner', 'Armand Assante', 'Sherilyn Fenn', 'Kate Nelligan', 'Sean Young', 'Christopher McDonald', 'Tony Randall', 'James Remar', 'Clarence Clemons']",BudgetN/A,7852653
Airborne,"['Rob Bowman', 'Shane McDermott', 'Seth Green', 'Brittney Powell', 'Chris Conrad', 'Jacob Vargas', 'Jack Black']",2600000,2850263 (US)
The Beverly Hillbillies,"['Penelope Spheeris', 'Paul Henning', 'Lawrence Konner', 'Mark Rosenthal', 'Jim Fisher', 'Jim Staahl', 'Jim Varney', 'Diedrich Bader', 'Erika Eleniak', 'Cloris Leachman', 'Lily Tomlin', 'Lea Thompson', 'Rob Schneider']",25,57405220
Weekend at Bernie's II,[],0,0
Leprechaun,[],0,0
The Age of Innocence,"['Martin Scorsese', 'Daniel Day-Lewis', 'Michelle Pfeiffer', 'Winona Ryder']",34,32.3 (US)
Carlito's Way,"['Brian De Palma', 'Al Pacino', 'Sean Penn', 'Penelope Ann Miller']",30,63848322
Deadfall,"['Christopher Coppola', 'Michael Biehn', 'Sarah Trigger', 'Nicolas Cage', 'James Coburn', 'Peter Fonda', 'Charlie Sheen']",10,18369
Coneheads,"['Steve Barron', 'Tom Davis', 'Dan Aykroyd', 'Bonnie Turner\nTerry Turner', 'Jane Curtin']",0,21274717
Son-in-Law,"['Steve Rash', 'Patrick Clifton', 'Susan McMartin', 'Fax Bahr', 'Adam Small', 'Shawn Schepps', 'Pauly Shore', 'Carla Gugino', 'Lane Smith', 'Cindy Pickett', 'Tiffani Thiessen', 'Dan Gauthier', 'Patrick Renna', 'Dennis Burkley', 'Brendan Fraser']",0,36448400
Tom and Jerry: The Movie,[],0,0
Fire in the Sky,"['Robert Lieberman', 'D. B. Sweeney', 'Robert Patrick', 'Craig Sheffer', 'Peter Berg', 'James Garner']",15000000,19885552
Matinee,"['Joe Dante', 'John Goodman', 'Cathy Moriarty', 'Omri Katz', 'Kellie Martin', 'Lisa Jakub', 'Simon Fenton']",0,9532895
Gettysburg,"['Ronald F. Maxwell', 'Tom Berenger', 'Jeff Daniels', 'Martin Sheen']",25,10769960
Alive,"['Frank Marshall', 'Ethan Hawke', 'Vincent Spano', 'Josh Hamilton']",32,36733909 (USA)
Mad Dog and Glory,"['John McNaughton', 'Richard Price', 'Robert De Niro', 'Uma Thurman', 'Bill Murray']",19,10688490 (USA)
Dazed and Confused,"['Richard Linklater', 'Jason London', 'Rory Cochrane', 'Wiley Wiggins', 'Adam Goldberg', 'Matthew McConaughey', 'Parker Posey', 'Milla Jovovich', 'Ben Affleck']",6900000,7993039
Best of the Best 2,[],0,0
Dragon: The Bruce Lee Story,"['Rob Cohen', 'Jason Scott Lee', 'Lauren Holly', 'Robert Wagner']",14,63513713
Mrs. Doubtfire,"['Chris Columbus', 'Robin Williams', 'Sally Field', 'Lisa Jakub', 'Matthew Lawrence', 'Mara Wilson', 'Pierce Brosnan', 'Harvey Fierstein']",25000000,441286195
CB4,"['Tamra Davis', 'Chris Rock', 'Nelson George', 'Allen Payne', 'Deezer D', 'Khandi Alexander', 'Phil Hartman', 'Chris Elliott', 'Charlie Murphy']",0,17953778
Indian Summer,[],0,0
Posse,"['Mario Van Peebles', 'Sy Richardson', 'Stephen Baldwin', 'Big Daddy Kane', 'Tiny Lister', 'Tone Lc', 'Blair Underwood', 'Billy Zane']",0,18289763
Heart and Souls,"['Ron Underwood', 'Brent Maddock', 'S. S. Wilson', '[1]', 'Robert Downey, Jr.', 'Charles Grodin', 'Alfre Woodard', 'Kyra Sedgwick', 'Elisabeth Shue', 'Tom Sizemore', 'David Paymer']",0,16581714
Philadelphia,"['Jonathan Demme', 'Ron Nyswaner', 'Tom Hanks', 'Denzel Washington']",26,206678440
The Fugitive,"['Andrew Davis', 'Harrison Ford', 'Tommy Lee Jones']",44000000,368875760
The Piano,"['Jane Campion', 'Holly Hunter', 'Harvey Keitel', 'Sam Neill', 'Anna Paquin']",7,140
The Temp,"['Tom Holland', 'Kevin Falls', 'Timothy Hutton', 'Lara Flynn Boyle', 'Dwight Schultz', 'Oliver Platt', 'Faye Dunaway']",15,6419876
Falling Down,"['Joel Schumacher', 'Ebbe Roe Smith', 'Michael Douglas']",25,40903593
Mr. Wonderful,"['Anthony Minghella', 'Matt Dillon', 'Annabella Sciorra', 'Mary-Louise Parker', 'William Hurt']",13,3125424 (USA)
Beethoven's 2nd,[],0,0
Ernest Rides Again,"['John R. Cherry III', 'Jim Varney', 'Ron James', 'Tom Butler', 'Linda Kash']",0,0
Kalifornia,"['Dominic Sena', 'Brad Pitt', 'Juliette Lewis', 'David Duchovny', 'Michelle Forbes']",8.5,2395231
We're Back! A Dinosaur's Story,[],0,0
Who's the Man?,"['Ted Demme', 'Salt', 'Badja Djola', 'Denis Leary', 'Richard Bright']",0,11299730
Army of Darkness,"['Sam Raimi', 'Ivan Raimi', 'Bruce Campbell', 'Embeth Davidtz']",11,21502796
Amos & Andrew,"['E. Max Frye', 'E. Max Frye', 'Nicolas Cage', 'Samuel L. Jackson']",17,9745803
Aspen Extreme,"['Patrick Hasburgh', 'Paul Gross', 'Peter Berg', 'Finola Hughes', 'Teri Polo']",0,8041049
My Life,[],0,0
Cop and a Half,"['Henry Winkler', 'Burt Reynolds', 'Norman D. Golden II', 'Ray Sharkey', 'Ruby Dee', 'Holland Taylor', 'Frank Sivero', 'Marc Macaulay', 'Tom McCleister', 'Ralph Wilcox']",0,40689691
Undercover Blues,"['Herbert Ross', 'Ian Abrams', 'Kathleen Turner', 'Dennis Quaid']",25,12324660
Bopha!,"['Morgan Freeman', 'Brian Bird', 'John Wierick', 'Danny Glover']",0,0
Indecent Proposal,"['Adrian Lyne', 'Robert Redford', 'Demi Moore', 'Woody Harrelson', 'Oliver Platt', 'Seymour Cassel']",38,266614059
Tombstone,"['George P. Cosmatos', 'Kurt Russell', 'Val Kilmer']",25000000,56505065
Mr. Jones,[],0,0
Fortress,"['Stuart Gordon', 'Troy Neighbors', 'Steven Feinberg', 'Christopher Lambert', 'Kurtwood Smith', 'Loryn Locklin', 'Jeffrey Combs', 'Vernon Wells', 'Clifton Collins, Jr.']",8000000 (estimated),42000000
Boiling Point,[],0,0
Hocus Pocus,"['Kenny Ortega', 'Bette Midler', 'Sarah Jessica Parker', 'Kathy Najimy', 'Omri Katz', 'Thora Birch', 'Vinessa Shaw']",28,39514713
Rookie of the Year,[],0,0
The Dark Half,"['George A. Romero', 'Timothy Hutton', 'Amy Madigan', 'Michael Rooker', 'Julie Harris', 'Rutanya Alda']",15000000,10611160
The Secret Garden,"['Agnieszka Holland', 'Kate Maberly', 'Heydon Prowse', 'Andrew Knott', 'Maggie Smith', 'John Lynch']",0,31181347
Splitting Heirs,"['Robert Young', 'Eric Idle', 'Eric Idle', 'Rick Moranis', 'Barbara Hershey', 'Catherine Zeta-Jones', 'John Cleese']",0,3246063 (USA)
Hexed,"['Alan Spencer', 'Alan Spencer', 'Arye Gross', 'Claudia Christian', 'Adrienne Shelly', 'R. Lee Ermey']",700000,2786807
Last Action Hero,[],0,0
