Movie_Name,Contributors,Budget,Revenue
Prelude to a Kiss,"['Norman Ren', 'Craig Lucas', 'Alec Baldwin', 'Meg Ryan', 'Sydney Walker', 'Kathy Bates', 'Ned Beatty', 'Patty Duke', 'Stanley Tucci', 'Debra Monk']",0,22697691
The Last of the Mohicans,"['Michael Mann', 'Daniel Day-Lewis', 'Madeleine Stowe', 'Jodhi May']",40,75505856 (United States)
Newsies,"['Kenny Ortega', 'Christian Bale', 'Bill Pullman', 'David Moscow', 'Robert Duvall']",15,2819485
Captain Ron,"['Thom Eberhardt', 'John Dwyer', 'Kurt Russell', 'Martin Short', 'Mary Kay Place', 'Benjamin Salisbury', 'Meadow Sisto']",24,22518097
Damage,"['Louis Malle', 'Jeremy Irons', 'Juliette Binoche', 'Miranda Richardson']",0,7532911 (US)
Kuffs,"['Bruce A. Evans', 'Christian Slater', 'Milla Jovovich', 'Bruce Boxleitner', 'Tony Goldwyn', 'George De La Pena', 'Leon Rippy']",BudgetUnknown,21142815 (USA)
Article 99,"['Howard Deutch', 'Ray Liotta', 'Kiefer Sutherland', 'Forest Whitaker', 'Lea Thompson', 'John Mahoney', 'John C. McGinley', 'Keith David', 'Kathy Baker']",0,6375979 (US)
Straight Talk,"['Barnet Kellman', 'Craig Bolotin', 'Dolly Parton', 'James Woods', 'Griffin Dunne', 'Michael Madsen', ""Deirdre O'Connell""]",0,21202099
Under Siege,"['Andrew Davis', '[1]', 'J. F. Lawton', 'Steven Seagal', 'Tommy Lee Jones', 'Gary Busey', 'Erika Eleniak']",35000000,156563139
Final Analysis,"['Phil Joanou', 'Richard Gere', 'Kim Basinger', 'Uma Thurman', 'Eric Roberts', 'Keith David']",33,28590665
Memoirs of an Invisible Man,"['John Carpenter', 'Chevy Chase', 'Daryl Hannah', 'Sam Neill', 'Paul Perri', 'Pat Skipper']",40,14358033
Hero,"['Stephen Frears', 'Dustin Hoffman', 'Geena Davis', 'Andy Garca']",42,66.5
A Midnight Clear,"['Keith Gordon', 'William Wharton', 'Peter Berg', 'Kevin Dillon', 'Arye Gross', 'Ethan Hawke', 'Gary Sinise', 'Frank Whaley', 'John C. McGinley', 'Larry Joshua', 'David Jensen', 'Curt Lowens']",5,1526697
Samantha,"['Martha Plimpton', 'Dermot Mulroney', 'Hector Elizondo', 'Mary Kay Place', 'Ione Skye']",0,2814 (USA)
Unforgiven,"['Clint Eastwood', 'David Webb Peoples', 'Gene Hackman', 'Morgan Freeman', 'Richard Harris']",14.4,159157447
Far and Away,"['Ron Howard', 'Tom Cruise', 'Nicole Kidman']",60,137783840
Cool World,"['Ralph Bakshi', 'Michael Grais', 'Mark Victor', 'Larry Gross', 'Kim Basinger', 'Gabriel Byrne', 'Brad Pitt']",30,14110589
Death Becomes Her,"['Robert Zemeckis', 'Martin Donovan', 'David Koepp', 'Meryl Streep', 'Bruce Willis', 'Goldie Hawn']",55,149022650
