year,Movie_Name,Budget,Contributors,Revenue
1990,Lambada,900000,"['Joel Silberg', 'Sheldon Renan', 'J. Eddie Peck', 'Melora Hardin', 'Adolfo ""Shabba-doo"" Quinones', 'Leticia Vasquez', 'Dennis Burkley', 'Rita Bland', 'Ricky Paull Goldin', 'Kristina Starman', 'Matt Feemster', 'Kayla Blake', 'Keene Curtis', 'Lauren Gale', 'Basil Hofman']",4263112
1990,Brain Dead, 2.000.000 (IMDB estimate),"['Adam Simon', 'Charles Beaumont', 'Bill Pullman', 'Bill Paxton', 'Bud Cort', 'George Kennedy']",1.6
1990,The Exorcist III,11,"['William Peter Blatty', 'George C. Scott', 'Ed Flanders', 'Jason Miller', 'Scott Wilson', 'Brad Dourif', 'Grand L. Bush', 'Nicol Williamson']",39024251
1990,I Come in Peace,57,"['Craig R. Baxley', 'David Koepp', 'Dolph Lundgren', 'Brian Benben', 'Betsy Brantley', 'Matthias Hues']",4348368
1990,The Two Jakes,19,"['Jack Nicholson', 'Robert Towne', 'Harvey Keitel', 'Meg Tilly', 'Madeleine Stowe']",10005969
1990,The Sheltering Sky,25000000,"['Bernardo Bertolucci', 'Debra Winger', 'John Malkovich']",2075084
1990,Goodfellas,25,"['Martin Scorsese', 'Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco', 'Paul Sorvino']",46.8
1990,Pretty Woman,14,"['Garry Marshall', 'J. F. Lawton', 'Julia Roberts', 'Richard Gere']",463407268
1990,Awakenings,31,"['Penny Marshall', 'Robert De Niro', 'Robin Williams', 'John Heard', 'Julie Kavner', 'Penelope Ann Miller', 'Max Von Sydow']",52096475
1990,Misery,20,"['Rob Reiner', 'James Caan', 'Kathy Bates', 'Lauren Bacall', 'Richard Farnsworth', 'Frances Sternhagen']",61276872
1990,Predator 2,35,"['Stephen Hopkins', 'Jim Thomas', 'John Thomas', 'Danny Glover', 'Kevin Peter Hall', 'Gary Busey', 'Ruben Blades', 'Mara Conchita Alonso', 'Bill Paxton', 'Robert Davi', 'Morton Downey, Jr.']",57120318
1990,Problem Child,10,"['Dennis Dugan', 'Scott Alexander\nLarry Karaszewski', 'John Ritter', 'Jack Warden', 'Michael Oliver', 'Gilbert Gottfried', 'Amy Yasbeck', 'Michael Richards']",72270891
1990,Die Hard 2,70,"['Renny Harlin', 'Bruce Willis', 'Bonnie Bedelia', 'William Atherton', 'Reginald VelJohnson', 'Franco Nero', 'William Sadler', 'John Amos']",240031094
