movie_name,movie_link
Hot Shots! Part Deux,/wiki/Hot_Shots!_Part_Deux
Calendar Girl,/wiki/Calendar_Girl_(1993_film)
Life with Mikey,/wiki/Life_with_Mikey
The Wedding Banquet,/wiki/The_Wedding_Banquet
Hard Target,/wiki/Hard_Target
The Three Musketeers,/wiki/The_Three_Musketeers_(1993_film)
Jason Goes to Hell: The Final Friday,/wiki/Jason_Goes_to_Hell:_The_Final_Friday
Untamed Heart,/wiki/Untamed_Heart
Cool Runnings,/wiki/Cool_Runnings
The Pelican Brief,/wiki/The_Pelican_Brief_(film)
Rising Sun,/wiki/Rising_Sun_(film)
Needful Things,/wiki/Needful_Things_(film)
Sliver,/wiki/Sliver_(film)
Teenage Mutant Ninja Turtles III,/wiki/Teenage_Mutant_Ninja_Turtles_III
Robin Hood: Men in Tights,/wiki/Robin_Hood:_Men_in_Tights
RoboCop 3,/wiki/RoboCop_3
The Remains of the Day,/wiki/The_Remains_of_the_Day_(film)
The Vanishing,/wiki/The_Vanishing_(1993_film)
Three of Hearts,/wiki/Three_of_Hearts_(1993_film)
The Nightmare Before Christmas,/wiki/The_Nightmare_Before_Christmas
Married to It,/wiki/Married_to_It
A Bronx Tale,/wiki/A_Bronx_Tale
The Good Son,/wiki/The_Good_Son_(film)
Josh and S.A.M.,/wiki/Josh_and_S.A.M.
Father Hood,/wiki/Father_Hood
Aspen Extreme,/wiki/Aspen_Extreme
Wayne's World 2,/wiki/Wayne%27s_World_2
Surf Ninjas,/wiki/Surf_Ninjas
Son of the Pink Panther,/wiki/Son_of_the_Pink_Panther
Addams Family Values,/wiki/Addams_Family_Values
Guilty as Sin,/wiki/Guilty_as_Sin
Nowhere to Run,/wiki/Nowhere_to_Run_(1993_film)
Made in America,/wiki/Made_in_America_(1993_film)
Loaded Weapon 1,/wiki/Loaded_Weapon_1
The Meteor Man,/wiki/The_Meteor_Man_(film)
Mr. Nanny,/wiki/Mr._Nanny
The Crush,/wiki/The_Crush_(1993_film)
Warlock: The Armageddon,/wiki/Warlock:_The_Armageddon
Judgment Night,/wiki/Judgment_Night_(film)
A Far Off Place,/wiki/A_Far_Off_Place
The Sandlot,/wiki/The_Sandlot
Jack the Bear,/wiki/Jack_the_Bear
Cliffhanger,/wiki/Cliffhanger_(film)
Poetic Justice,/wiki/Poetic_Justice_(film)
The Adventures of Huck Finn,/wiki/The_Adventures_of_Huck_Finn_(1993_film)
Twenty Bucks,/wiki/Twenty_Bucks
Sniper,/wiki/Sniper_(1993_film)
The Man Without a Face,/wiki/The_Man_Without_a_Face
Striking Distance,/wiki/Striking_Distance
Ruby Cairo,/wiki/Ruby_Cairo
Dave,/wiki/Dave_(film)
True Romance,/wiki/True_Romance
Dennis the Menace,/wiki/Dennis_the_Menace_(film)
M. Butterfly,/wiki/M._Butterfly_(film)
Lost in Yonkers (film),/wiki/Lost_in_Yonkers_(film)
Point of No Return,/wiki/Point_of_No_Return_(1993_film)
Sleepless in Seattle,/wiki/Sleepless_in_Seattle
Grumpy Old Men,/wiki/Grumpy_Old_Men_(film)
Look Who's Talking Now,/wiki/Look_Who%27s_Talking_Now
Demolition Man,/wiki/Demolition_Man_(film)
Happily Ever After,/wiki/Happily_Ever_After_(1993_film)
Batman: Mask of the Phantasm,/wiki/Batman:_Mask_of_the_Phantasm
Malice,/wiki/Malice_(film)
What's Eating Gilbert Grape,/wiki/What%27s_Eating_Gilbert_Grape
Sidekicks,/wiki/Sidekicks_(1992_film)
Another Stakeout,/wiki/Another_Stakeout
The Program,/wiki/The_Program
Hear No Evil,/wiki/Hear_No_Evil_(film)
Sommersby,/wiki/Sommersby
Dragon: The Bruce Lee Story,/wiki/Dragon:_The_Bruce_Lee_Story
Flesh and Bone,/wiki/Flesh_and_Bone_(film)
Free Willy,/wiki/Free_Willy
Groundhog Day,/wiki/Groundhog_Day_(film)
Children of the Corn II: The Final Sacrifice,/wiki/Children_of_the_Corn_II:_The_Final_Sacrifice
My Boyfriend's Back,/wiki/My_Boyfriend%27s_Back_(1993_film)
For Love or Money,/wiki/For_Love_or_Money_(1993_film)
Body of Evidence,/wiki/Body_of_Evidence_(1993_film)
Jurassic Park,/wiki/Jurassic_Park_(film)
Man's Best Friend,/wiki/Man%27s_Best_Friend_(1993_film)
So I Married an Axe Murderer,/wiki/So_I_Married_an_Axe_Murderer
Fearless,/wiki/Fearless_(1993_film)
Household Saints,/wiki/Household_Saints
Once Upon a Forest,/wiki/Once_Upon_a_Forest
A Perfect World,/wiki/A_Perfect_World
Rudy,/wiki/Rudy_(film)
Born Yesterday,/wiki/Born_Yesterday_(1993_film)
Into the West,/wiki/Into_the_West_(film)
Super Mario Bros.,/wiki/Super_Mario_Bros._(film)
In the Line of Fire,/wiki/In_the_Line_of_Fire
Schindler's List,/wiki/Schindler%27s_List
The Real McCoy,/wiki/The_Real_McCoy_(film)
Only the Strong,/wiki/Only_the_Strong_(film)
Fatal Instinct,/wiki/Fatal_Instinct
Airborne,/wiki/Airborne_(1993_film)
The Beverly Hillbillies,/wiki/The_Beverly_Hillbillies_(film)
Weekend at Bernie's II,/wiki/Weekend_at_Bernie%27s_II
Leprechaun,/wiki/Leprechaun_(film)
