movie_name,movie_link
The Saint,/wiki/The_Saint_(film)
Alien: Resurrection,/wiki/Alien:_Resurrection
One Eight Seven,/wiki/One_Eight_Seven
Free Willy 3: The Rescue,/wiki/Free_Willy_3:_The_Rescue
Tomorrow Never Dies,/wiki/Tomorrow_Never_Dies
Wild America,/wiki/Wild_America_(film)
The Peacemaker,/wiki/The_Peacemaker_(1997_film)
Seven Years in Tibet,/wiki/Seven_Years_in_Tibet_(1997_film)
Turbo: A Power Rangers Movie,/wiki/Turbo:_A_Power_Rangers_Movie
Private Parts,/wiki/Private_Parts_(1997_film)
The Relic,/wiki/The_Relic_(film)
The Man Who Knew Too Little,/wiki/The_Man_Who_Knew_Too_Little
Young and Dangerous 4,/wiki/Young_and_Dangerous_4
Fire Down Below,/wiki/Fire_Down_Below_(1997_film)
Star Wars,/wiki/Star_Wars_(film)
Batman & Robin,/wiki/Batman_%26_Robin_(film)
MouseHunt,/wiki/MouseHunt_(film)
RocketMan,/wiki/RocketMan
Volcano,/wiki/Volcano_(1997_film)
Men in Black,/wiki/Men_in_Black_(film)
Meet Wally Sparks,/wiki/Meet_Wally_Sparks
Leave It to Beaver,/wiki/Leave_It_to_Beaver_(film)
The Game,/wiki/The_Game_(1997_film)
Hercules,/wiki/Hercules_(1997_film)
Rosewood,/wiki/Rosewood_(film)
G.I. Jane,/wiki/G.I._Jane
Gone Fishin',/wiki/Gone_Fishin%27_(film)
Most Wanted,/wiki/Most_Wanted_(1997_film)
The Lost World: Jurassic Park,/wiki/The_Lost_World:_Jurassic_Park
Ulee's Gold,/wiki/Ulee%27s_Gold
Donnie Brasco,/wiki/Donnie_Brasco_(film)
Nothing to Lose,/wiki/Nothing_to_Lose_(1997_film)
Kiss the Girls,/wiki/Kiss_the_Girls_(film)
Excess Baggage,/wiki/Excess_Baggage
Breakdown,/wiki/Breakdown_(1997_film)
Metro,/wiki/Metro_(1997_film)
Romy and Michele's High School Reunion,/wiki/Romy_and_Michele%27s_High_School_Reunion
Starship Troopers,/wiki/Starship_Troopers_(film)
Hoodlum,/wiki/Hoodlum_(film)
Chasing Amy,/wiki/Chasing_Amy
Return of the Jedi,/wiki/Return_of_the_Jedi
Speed 2: Cruise Control,/wiki/Speed_2:_Cruise_Control
Wishmaster,/wiki/Wishmaster_(film)
Beverly Hills Ninja,/wiki/Beverly_Hills_Ninja
The Full Monty,/wiki/The_Full_Monty
Love Jones,/wiki/Love_Jones_(film)
Contact,/wiki/Contact_(1997_US_film)
Switchback,/wiki/Switchback_(film)
The Devil's Own,/wiki/The_Devil%27s_Own
Warriors of Virtue,/wiki/Warriors_of_Virtue
The Jackal,/wiki/The_Jackal_(1997_film)
Kull the Conqueror,/wiki/Kull_the_Conqueror
Dante's Peak,/wiki/Dante%27s_Peak
The Fifth Element,/wiki/The_Fifth_Element
Fools Rush In,/wiki/Fools_Rush_In_(1997_film)
Gattaca,/wiki/Gattaca
Event Horizon,/wiki/Event_Horizon_(film)
As Good as It Gets,/wiki/As_Good_as_It_Gets
Flubber,/wiki/Flubber_(film)
Murder at 1600,/wiki/Murder_at_1600
Face/Off,/wiki/Face/Off
Mr. Magoo,/wiki/Mr._Magoo_(film)
Selena,/wiki/Selena_(film)
Red Corner,/wiki/Red_Corner
Air Bud,/wiki/Air_Bud
Steel,/wiki/Steel_(1997_film)
Austin Powers: International Man of Mystery,/wiki/Austin_Powers:_International_Man_of_Mystery
George of the Jungle,/wiki/George_of_the_Jungle_(film)
Cats Don't Dance,/wiki/Cats_Don%27t_Dance
4 Little Girls,/wiki/4_Little_Girls
Money Talks,/wiki/Money_Talks
Home Alone 3,/wiki/Home_Alone_3
Anastasia,/wiki/Anastasia_(1997_film)
Amistad,/wiki/Amistad_(1997_film)
Masterminds,/wiki/Masterminds_(1997_film)
Spawn,/wiki/Spawn_(film)
L.A. Confidential,/wiki/L.A._Confidential_(film)
The Postman,/wiki/The_Postman_(film)
Liar Liar,/wiki/Liar_Liar
Jackie Brown,/wiki/Jackie_Brown_(film)
The Edge,/wiki/The_Edge_(1997_film)
Night Falls on Manhattan,/wiki/Night_Falls_on_Manhattan
Good Will Hunting,/wiki/Good_Will_Hunting
The Rainmaker,/wiki/The_Rainmaker_(1997_film)
Jackie Chan's First Strike,/wiki/Police_Story_4:_First_Strike
B*A*P*S,/wiki/B*A*P*S
The 6th Man,/wiki/The_6th_Man
Booty Call,/wiki/Booty_Call
Mad City,/wiki/Mad_City_(film)
Mortal Kombat: Annihilation,/wiki/Mortal_Kombat:_Annihilation
My Best Friend's Wedding,/wiki/My_Best_Friend%27s_Wedding
Air Force One,/wiki/Air_Force_One_(film)
Bean,/wiki/Bean_(film)
Turbulence,/wiki/Turbulence_(1997_film)
U Turn,/wiki/U_Turn_(1997_film)
Good Burger,/wiki/Good_Burger
8 Heads in a Duffel Bag,/wiki/8_Heads_in_a_Duffel_Bag
Titanic,/wiki/Titanic_(1997_film)
I Know What You Did Last Summer,/wiki/I_Know_What_You_Did_Last_Summer
Cop Land,/wiki/Cop_Land
Mimic,/wiki/Mimic_(film)
The Little Mermaid,/wiki/The_Little_Mermaid_(1989_film)
Jungle 2 Jungle,/wiki/Jungle_2_Jungle
Double Team,/wiki/Double_Team_(film)
Con Air,/wiki/Con_Air
McHale's Navy,/wiki/McHale%27s_Navy_(1997_film)
Scream 2,/wiki/Scream_2
The Empire Strikes Back,/wiki/The_Empire_Strikes_Back
Vegas Vacation,/wiki/Vegas_Vacation
Fierce Creatures,/wiki/Fierce_Creatures
Anaconda,/wiki/Anaconda_(film)
Grosse Pointe Blank,/wiki/Grosse_Pointe_Blank
Soul Food,/wiki/Soul_Food_(film)
