movie_name,movie_link
JFK,/wiki/JFK_(film)
If Looks Could Kill,/wiki/If_Looks_Could_Kill_(film)
Mystery Date,/wiki/Mystery_Date
Men of Respect,/wiki/Men_of_Respect
Regarding Henry,/wiki/Regarding_Henry
Barton Fink,/wiki/Barton_Fink
The Commitments,/wiki/The_Commitments_(film)
Hot Shots!,/wiki/Hot_Shots!
Paradise,/wiki/Paradise_(1991_film)
Backdraft,/wiki/Backdraft_(film)
Oscar,/wiki/Oscar_(1991_film)
Two Evil Eyes,/wiki/Two_Evil_Eyes
A Rage in Harlem,/wiki/A_Rage_in_Harlem_(film)
Mobsters,/wiki/Mobsters_(film)
Where Angels Fear to Tread,/wiki/Where_Angels_Fear_to_Tread_(film)
The Butcher's Wife,/wiki/The_Butcher%27s_Wife
Ricochet,/wiki/Ricochet_(film)
Defending Your Life,/wiki/Defending_Your_Life
The Silence of the Lambs,/wiki/The_Silence_of_the_Lambs_(film)
The Rocketeer,/wiki/The_Rocketeer_(film)
Toy Soldiers,/wiki/Toy_Soldiers_(1991_film)
True Colors,/wiki/True_Colors_(1991_film)
Doc Hollywood,/wiki/Doc_Hollywood
Star Trek VI: The Undiscovered Country,/wiki/Star_Trek_VI:_The_Undiscovered_Country
Shattered,/wiki/Shattered_(1991_film)
The Marrying Man,/wiki/The_Marrying_Man
The Naked Gun 2: The Smell of Fear,/wiki/The_Naked_Gun_2%C2%BD:_The_Smell_of_Fear
The Indian Runner,/wiki/The_Indian_Runner
Drop Dead Fred,/wiki/Drop_Dead_Fred
Ski School,/wiki/Ski_School_(film)
Rush,/wiki/Rush_(1991_film)
The Prince of Tides,/wiki/The_Prince_of_Tides
Flight of the Intruder,/wiki/Flight_of_the_Intruder
Hook,/wiki/Hook_(film)
Nothing But Trouble,/wiki/Nothing_But_Trouble_(1991_film)
"He Said, She Said","/wiki/He_Said,_She_Said"
L.A. Story,/wiki/L.A._Story
The NeverEnding Story II: The Next Chapter,/wiki/The_NeverEnding_Story_II:_The_Next_Chapter
My Own Private Idaho,/wiki/My_Own_Private_Idaho
Father of the Bride,/wiki/Father_of_the_Bride_(1991_film)
New Jack City,/wiki/New_Jack_City
At Play in the Fields of the Lord,/wiki/At_Play_in_the_Fields_of_the_Lord
All I Want for Christmas,/wiki/All_I_Want_for_Christmas_(film)
Fried Green Tomatoes,/wiki/Fried_Green_Tomatoes_(film)
American Ninja 4: The Annihilation,/wiki/American_Ninja_4:_The_Annihilation
My Girl,/wiki/My_Girl_(film)
Kafka,/wiki/Kafka_(film)
The Doctor,/wiki/The_Doctor_(1991_film)
The Man in the Moon,/wiki/The_Man_in_the_Moon
Sleeping with the Enemy,/wiki/Sleeping_with_the_Enemy
Thelma & Louise,/wiki/Thelma_%26_Louise
Bingo,/wiki/Bingo_(1991_film)
Wild Hearts Can't Be Broken,/wiki/Wild_Hearts_Can%27t_Be_Broken
City Slickers,/wiki/City_Slickers
Dogfight,/wiki/Dogfight_(film)
White Fang,/wiki/White_Fang_(1991_film)
Strictly Business,/wiki/Strictly_Business_(1991_film)
Guilty by Suspicion,/wiki/Guilty_by_Suspicion
Life Stinks,/wiki/Life_Stinks
A Brighter Summer Day,/wiki/A_Brighter_Summer_Day
Highlander II: The Quickening,/wiki/Highlander_II:_The_Quickening
Cool as Ice,/wiki/Cool_as_Ice
Delirious,/wiki/Delirious_(1991_film)
High Heels,/wiki/High_Heels_(film)
Soapdish,/wiki/Soapdish
Bill & Ted's Bogus Journey,/wiki/Bill_%26_Ted%27s_Bogus_Journey
Billy Bathgate,/wiki/Billy_Bathgate_(film)
Curly Sue,/wiki/Curly_Sue
The Fisher King,/wiki/The_Fisher_King_(film)
The Super,/wiki/The_Super
Pure Luck,/wiki/Pure_Luck
